Period,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Arkhangel'skaya Oblast',Kaliningrad Oblast,Komi Republic,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Vologda Oblast,Astrakhan Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Rostov Oblast,Volgograd Oblast,Chuvash Republic,Kirov Oblast,Mari El Republic,Nizhny Novgorod Oblast',Orenburg Oblast,Belgorod Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Altai Krai,Moscow Oblast,Bryansk Oblast,Altai Republic,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Republic of Khakassia,Tomsk District,Tyva Republic,Amur Oblast,Moscow,Ivanovo Oblast,Jewish Autonomous Oblast,Kamchatka Krai,Khabarovsk Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Zabaykalsky Krai,Chechen Republic,Leningrad Oblast,Kaluga Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,The Kabardino-Balkar Republic,Chelyabinsk Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Kurgan Oblast,Sverdlovsk Oblast,Saint Petersburg,Kostroma Oblast,Tyumen Oblast,Yamalo-Nenets Autonomous Okrug,Kursk Oblast
17501,0.77,0.89,0.76,0.77,0.77,0.78,0.74,0.77,0.75,0.8,0.82,0.72,0.79,0.78,0.97,0.73,0.66,0.74,0.73,0.77,0.8,0.72,0.72,0.72,0.9,0.81,0.83,0.79,0.81,0.75,0.78,0.79,0.84,0.76,0.77,0.77,0.74,0.88,0.76,0.79,0.85,0.81,0.8,0.75,0.7,0.75,0.76,0.84,0.81,0.6,0.75,0.74,0.7,0.74,0.83,0.7,0.82,0.68,0.75,0.69,0.71,0.74,0.76,0.64,0.81,0.81,0.69,0.56,0.52,0.57,0.86,0.66,0.73,0.75,0.81,0.78,0.77,0.76,0.84,0.74,0.77
17532,0.74,0.86,0.74,0.75,0.75,0.76,0.71,0.74,0.73,0.77,0.8,0.71,0.77,0.77,0.91,0.71,0.64,0.73,0.75,0.74,0.81,0.68,0.7,0.7,0.85,0.77,0.8,0.74,0.81,0.72,0.74,0.75,0.83,0.75,0.74,0.73,0.69,0.85,0.72,0.83,0.8,0.81,0.8,0.79,0.73,0.79,0.78,0.84,0.87,0.64,0.76,0.73,0.65,0.72,0.77,0.7,0.8,0.69,0.72,0.68,0.74,0.77,0.77,0.7,0.78,0.8,0.7,0.6,0.55,0.55,0.84,0.66,0.73,0.76,0.85,0.75,0.71,0.75,0.84,0.78,0.76
17563,0.73,0.83,0.72,0.75,0.72,0.74,0.7,0.73,0.7,0.76,0.79,0.71,0.75,0.76,0.89,0.69,0.63,0.74,0.73,0.74,0.8,0.68,0.71,0.69,0.82,0.75,0.77,0.75,0.78,0.73,0.73,0.74,0.8,0.75,0.75,0.74,0.7,0.84,0.7,0.79,0.79,0.78,0.79,0.78,0.7,0.77,0.76,0.81,0.84,0.61,0.81,0.73,0.66,0.72,0.8,0.67,0.8,0.67,0.71,0.69,0.76,0.73,0.78,0.61,0.75,0.79,0.69,0.59,0.57,0.56,0.82,0.61,0.71,0.75,0.81,0.74,0.7,0.75,0.83,0.76,0.75
17591,0.76,0.89,0.71,0.76,0.75,0.76,0.71,0.74,0.71,0.75,0.82,0.69,0.78,0.78,0.86,0.7,0.64,0.77,0.73,0.73,0.77,0.62,0.69,0.69,0.81,0.76,0.77,0.75,0.76,0.75,0.72,0.75,0.8,0.74,0.75,0.73,0.7,0.84,0.71,0.79,0.78,0.79,0.79,0.78,0.73,0.76,0.76,0.81,0.85,0.64,0.86,0.74,0.64,0.71,0.81,0.69,0.77,0.7,0.72,0.69,0.74,0.75,0.76,0.7,0.75,0.79,0.73,0.58,0.55,0.58,0.8,0.64,0.71,0.75,0.81,0.74,0.7,0.76,0.84,0.77,0.8
17622,0.82,0.95,0.73,0.79,0.78,0.79,0.73,0.75,0.75,0.78,0.82,0.75,0.82,0.78,0.83,0.74,0.67,0.79,0.8,0.76,0.84,0.81,0.73,0.72,0.83,0.78,0.81,0.77,0.84,0.84,0.77,0.75,0.83,0.81,0.85,0.75,0.76,0.87,0.77,0.82,0.76,0.83,0.87,0.8,0.74,0.77,0.8,0.85,0.86,0.64,0.92,0.75,0.65,0.75,0.79,0.72,0.79,0.67,0.73,0.74,0.81,0.75,0.81,0.79,0.75,0.8,0.8,0.72,0.59,0.67,0.86,0.69,0.75,0.8,0.86,0.75,0.71,0.78,0.86,0.79,0.81
17652,0.64,0.71,0.65,0.66,0.66,0.67,0.61,0.63,0.63,0.67,0.67,0.63,0.68,0.7,0.78,0.6,0.56,0.63,0.67,0.61,0.68,0.63,0.61,0.61,0.72,0.66,0.65,0.61,0.68,0.66,0.64,0.65,0.65,0.58,0.65,0.63,0.62,0.73,0.62,0.63,0.7,0.66,0.66,0.65,0.62,0.64,0.62,0.7,0.71,0.57,0.7,0.58,0.58,0.61,0.67,0.6,0.67,0.56,0.63,0.6,0.67,0.64,0.63,0.42,0.66,0.69,0.65,0.4,0.38,0.55,0.7,0.52,0.63,0.66,0.7,0.65,0.65,0.65,0.72,0.68,0.66
17683,0.6,0.65,0.62,0.61,0.62,0.61,0.56,0.58,0.59,0.63,0.62,0.59,0.61,0.68,0.73,0.54,0.5,0.59,0.59,0.57,0.64,0.52,0.57,0.58,0.67,0.63,0.56,0.57,0.62,0.59,0.61,0.62,0.6,0.58,0.58,0.61,0.58,0.69,0.58,0.58,0.68,0.64,0.49,0.58,0.56,0.59,0.56,0.66,0.64,0.48,0.5,0.53,0.57,0.57,0.58,0.54,0.61,0.55,0.56,0.46,0.53,0.56,0.52,0.32,0.64,0.65,0.53,0.34,0.35,0.45,0.65,0.45,0.59,0.63,0.64,0.62,0.63,0.58,0.68,0.68,0.62
17713,0.62,0.66,0.62,0.63,0.61,0.63,0.63,0.58,0.61,0.63,0.64,0.62,0.61,0.7,0.74,0.57,0.51,0.61,0.61,0.59,0.66,0.58,0.59,0.59,0.66,0.64,0.56,0.59,0.64,0.61,0.6,0.62,0.62,0.6,0.58,0.62,0.6,0.69,0.59,0.6,0.7,0.64,0.54,0.59,0.58,0.61,0.59,0.65,0.64,0.49,0.54,0.52,0.57,0.58,0.66,0.56,0.6,0.55,0.56,0.46,0.52,0.57,0.56,0.4,0.65,0.67,0.51,0.37,0.38,0.46,0.68,0.45,0.59,0.64,0.66,0.62,0.65,0.59,0.67,0.69,0.63
17744,0.72,0.83,0.71,0.73,0.71,0.75,0.68,0.68,0.7,0.71,0.74,0.7,0.73,0.78,0.81,0.68,0.6,0.7,0.72,0.85,0.81,0.73,0.68,0.68,0.78,0.72,0.73,0.69,0.82,0.75,0.71,0.7,0.79,0.78,0.75,0.72,0.69,0.79,0.7,0.72,0.76,0.78,0.75,0.71,0.68,0.72,0.7,0.74,0.78,0.58,0.81,0.66,0.62,0.68,0.72,0.66,0.68,0.65,0.64,0.63,0.69,0.66,0.72,0.75,0.72,0.76,0.72,0.65,0.62,0.62,0.86,0.62,0.68,0.76,0.77,0.69,0.67,0.71,0.74,0.78,0.75
17775,0.77,0.89,0.75,0.79,0.76,0.81,0.71,0.74,0.74,0.78,0.84,0.72,0.83,0.83,0.87,0.74,0.66,0.77,0.77,0.75,0.8,0.76,0.7,0.69,0.83,0.77,0.81,0.75,0.85,0.79,0.77,0.75,0.85,0.82,0.79,0.77,0.73,0.84,0.76,0.83,0.8,0.83,0.9,0.8,0.75,0.8,0.77,0.81,0.86,0.65,0.97,0.75,0.64,0.72,0.83,0.71,0.75,0.74,0.69,0.74,0.83,0.73,0.83,0.8,0.77,0.79,0.77,0.78,0.7,0.67,0.9,0.69,0.73,0.84,0.86,0.73,0.7,0.78,0.83,0.87,0.79
17805,0.74,0.85,0.73,0.76,0.76,0.78,0.7,0.73,0.71,0.73,0.79,0.69,0.79,0.81,0.85,0.71,0.64,0.74,0.71,0.76,0.79,0.71,0.68,0.68,0.82,0.76,0.77,0.74,0.81,0.76,0.75,0.73,0.83,0.77,0.74,0.75,0.72,0.83,0.73,0.83,0.78,0.78,0.84,0.76,0.69,0.76,0.74,0.79,0.8,0.63,0.93,0.72,0.64,0.72,0.76,0.68,0.76,0.67,0.69,0.71,0.81,0.72,0.79,0.7,0.76,0.77,0.76,0.63,0.66,0.61,0.87,0.67,0.71,0.78,0.84,0.73,0.69,0.76,0.81,0.79,0.77
