Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Нижегородская область, все устройства
декабрь 2017;9;0,00000377;
январь 2018;8;0,00000335;
февраль 2018;3;0,00000124;
март 2018;5;0,00000237;
апрель 2018;2;0,00000101;
май 2018;0;0;
июнь 2018;2;0,00000114;
июль 2018;5;0,00000265;
август 2018;5;0,00000229;
сентябрь 2018;11;0,00000419;
октябрь 2018;2;0,00000089;
ноябрь 2018;1;0,00000043;
декабрь 2018;6;0,00000234;
январь 2019;5;0,00000208;
февраль 2019;8;0,00000312;
март 2019;7;0,00000292;
апрель 2019;16;0,00000699;
май 2019;0;0;
июнь 2019;1;0,00000048;
июль 2019;5;0,00000249;
август 2019;14;0,00000655;
сентябрь 2019;4;0,00000163;
октябрь 2019;4;0,00000158;
ноябрь 2019;0;0;
декабрь 2019;10;0,00000375;
январь 2020;10;0,00000390;
февраль 2020;3;0,00000111;
март 2020;3;0,00000088;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;5;0,00000192;
июль 2020;15;0,00000582;
август 2020;9;0,00000334;
сентябрь 2020;6;0,00000205;
октябрь 2020;5;0,00000153;
ноябрь 2020;4;0,00000126;
декабрь 2020;6;0,00000211;
январь 2021;6;0,00000224;
февраль 2021;4;0,00000135;
март 2021;4;0,00000137;
апрель 2021;6;0,00000216;
май 2021;2;0,00000074;
июнь 2021;9;0,00000331;
июль 2021;5;0,00000187;
август 2021;8;0,00000280;
сентябрь 2021;10;0,00000326;
октябрь 2021;6;0,00000195;
ноябрь 2021;2;0,00000064;
декабрь 2021;5;0,00000162;
январь 2022;9;0,00000294;
февраль 2022;16;0,00000484;
март 2022;1;0,00000031;
апрель 2022;15;0,00000461;
май 2022;23;0,00000800;
июнь 2022;1;0,00000035;
июль 2022;2;0,00000069;
август 2022;5;0,00000154;
сентябрь 2022;2;0,00000057;
октябрь 2022;11;0,00000317;
ноябрь 2022;1;0,00000029;
декабрь 2022;16;0,00000468;
январь 2023;4;0,00000126;
февраль 2023;10;0,00000290;
март 2023;10;0,00000317;
апрель 2023;23;0,00000744;
май 2023;8;0,00000293;
июнь 2023;0;0;
июль 2023;2;0,00000075;
август 2023;0;0;
сентябрь 2023;9;0,00000283;
октябрь 2023;6;0,00000195;
ноябрь 2023;12;0,00000388;
декабрь 2023;4;0,00000125;
январь 2024;3;0,00000101;
февраль 2024;1;0,00000033;
март 2024;4;0,00000142;
апрель 2024;4;0,00000147;
май 2024;1;0,00000043;
июнь 2024;4;0,00000172;
июль 2024;1;0,00000042;
август 2024;3;0,00000119;
сентябрь 2024;3;0,00000103;
октябрь 2024;9;0,00000303;
ноябрь 2024;26;0,00000852;
декабрь 2024;6;0,00000199;
