Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «айлык», по месяцам, 31.12.2017 — 30.01.2025, Республика Марий Эл, все устройства
декабрь 2017;2;0,0000098;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;1;0,0000043;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;1;0,0000038;
сентябрь 2020;0;0;
октябрь 2020;2;0,0000058;
ноябрь 2020;1;0,0000030;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;4;0,0000129;
март 2021;3;0,0000095;
апрель 2021;1;0,0000033;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;3;0,0000085;
декабрь 2021;6;0,0000170;
январь 2022;0;0;
февраль 2022;1;0,0000026;
март 2022;1;0,0000027;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;4;0,0000114;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;2;0,0000057;
май 2023;6;0,0000194;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;2;0,0000054;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;1;0,0000030;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;1;0,0000036;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;2;0,0000053;
декабрь 2024;3;0,0000081;
