Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Орловская область, все устройства
декабрь 2017;27;0,0000818;
январь 2018;18;0,0000552;
февраль 2018;29;0,0000824;
март 2018;24;0,0000748;
апрель 2018;34;0,0001071;
май 2018;45;0,0001501;
июнь 2018;25;0,0000822;
июль 2018;23;0,0000788;
август 2018;27;0,0000798;
сентябрь 2018;39;0,0000991;
октябрь 2018;44;0,0001218;
ноябрь 2018;39;0,0001082;
декабрь 2018;24;0,0000644;
январь 2019;33;0,0000927;
февраль 2019;40;0,0001053;
март 2019;35;0,0001016;
апрель 2019;27;0,0000808;
май 2019;38;0,0001259;
июнь 2019;50;0,0001629;
июль 2019;29;0,0000965;
август 2019;26;0,0000804;
сентябрь 2019;35;0,0000954;
октябрь 2019;36;0,0000964;
ноябрь 2019;15;0,0000383;
декабрь 2019;29;0,0000724;
январь 2020;42;0,0001091;
февраль 2020;14;0,0000337;
март 2020;5;0,0000095;
апрель 2020;11;0,0000232;
май 2020;18;0,0000462;
июнь 2020;6;0,0000166;
июль 2020;7;0,0000193;
август 2020;21;0,0000533;
сентябрь 2020;34;0,0000747;
октябрь 2020;46;0,0000953;
ноябрь 2020;18;0,0000379;
декабрь 2020;85;0,0001859;
январь 2021;72;0,0001631;
февраль 2021;99;0,0002011;
март 2021;98;0,0001969;
апрель 2021;116;0,0002367;
май 2021;110;0,0002384;
июнь 2021;53;0,0001238;
июль 2021;57;0,0001302;
август 2021;38;0,0000784;
сентябрь 2021;42;0,0000796;
октябрь 2021;45;0,0000813;
ноябрь 2021;36;0,0000641;
декабрь 2021;58;0,0001022;
январь 2022;84;0,0001487;
февраль 2022;132;0,0002194;
март 2022;136;0,0002346;
апрель 2022;139;0,0002534;
май 2022;156;0,0003176;
июнь 2022;154;0,0003192;
июль 2022;89;0,0001842;
август 2022;231;0,0004281;
сентябрь 2022;56;0,0000964;
октябрь 2022;66;0,0001125;
ноябрь 2022;15;0,0000255;
декабрь 2022;91;0,0001561;
январь 2023;67;0,0001248;
февраль 2023;54;0,0000916;
март 2023;93;0,0001729;
апрель 2023;61;0,0001150;
май 2023;57;0,0001168;
июнь 2023;71;0,0001484;
июль 2023;51;0,0001094;
август 2023;83;0,0001709;
сентябрь 2023;54;0,0000967;
октябрь 2023;41;0,0000740;
ноябрь 2023;52;0,0000947;
декабрь 2023;67;0,0001187;
январь 2024;38;0,0000726;
февраль 2024;61;0,0001142;
март 2024;45;0,0000898;
апрель 2024;35;0,0000711;
май 2024;66;0,0001532;
июнь 2024;93;0,0002176;
июль 2024;62;0,0001456;
август 2024;42;0,0000930;
сентябрь 2024;47;0,0000914;
октябрь 2024;77;0,0001431;
ноябрь 2024;70;0,0001265;
декабрь 2024;63;0,0001142;
