Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Тульская область, все устройства
декабрь 2017;79;0,000118;
январь 2018;56;0,000085;
февраль 2018;47;0,000065;
март 2018;96;0,000148;
апрель 2018;83;0,000132;
май 2018;112;0,000191;
июнь 2018;128;0,000213;
июль 2018;71;0,000122;
август 2018;47;0,000068;
сентябрь 2018;76;0,000095;
октябрь 2018;47;0,000064;
ноябрь 2018;45;0,000062;
декабрь 2018;99;0,000131;
январь 2019;58;0,000080;
февраль 2019;86;0,000112;
март 2019;87;0,000122;
апрель 2019;54;0,000081;
май 2019;100;0,000165;
июнь 2019;85;0,000138;
июль 2019;64;0,000104;
август 2019;86;0,000131;
сентябрь 2019;59;0,000078;
октябрь 2019;58;0,000076;
ноябрь 2019;51;0,000065;
декабрь 2019;85;0,000107;
январь 2020;68;0,000088;
февраль 2020;61;0,000072;
март 2020;27;0,000025;
апрель 2020;34;0,000036;
май 2020;82;0,000105;
июнь 2020;46;0,000064;
июль 2020;68;0,000095;
август 2020;143;0,000181;
сентябрь 2020;76;0,000084;
октябрь 2020;73;0,000077;
ноябрь 2020;40;0,000044;
декабрь 2020;96;0,000107;
январь 2021;99;0,000115;
февраль 2021;93;0,000097;
март 2021;129;0,000131;
апрель 2021;140;0,000143;
май 2021;137;0,000147;
июнь 2021;86;0,000096;
июль 2021;146;0,000158;
август 2021;119;0,000121;
сентябрь 2021;114;0,000109;
октябрь 2021;103;0,000094;
ноябрь 2021;145;0,000133;
декабрь 2021;109;0,000099;
январь 2022;138;0,000131;
февраль 2022;212;0,000178;
март 2022;155;0,000136;
апрель 2022;196;0,000178;
май 2022;217;0,000219;
июнь 2022;259;0,000260;
июль 2022;175;0,000174;
август 2022;447;0,000409;
сентябрь 2022;232;0,000198;
октябрь 2022;125;0,000106;
ноябрь 2022;84;0,000072;
декабрь 2022;146;0,000126;
январь 2023;131;0,000122;
февраль 2023;153;0,000131;
март 2023;165;0,000154;
апрель 2023;142;0,000134;
май 2023;145;0,000148;
июнь 2023;177;0,000178;
июль 2023;142;0,000145;
август 2023;82;0,000081;
сентябрь 2023;117;0,000104;
октябрь 2023;112;0,000102;
ноябрь 2023;118;0,000109;
декабрь 2023;174;0,000155;
январь 2024;129;0,000123;
февраль 2024;87;0,000080;
март 2024;113;0,000111;
апрель 2024;148;0,000149;
май 2024;158;0,000177;
июнь 2024;148;0,000164;
июль 2024;116;0,000128;
август 2024;105;0,000112;
сентябрь 2024;103;0,000097;
октябрь 2024;104;0,000097;
ноябрь 2024;63;0,000057;
декабрь 2024;107;0,000096;
