Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Чувашская Республика, все устройства
декабрь 2017;21;0,0000447;
январь 2018;13;0,0000283;
февраль 2018;19;0,0000382;
март 2018;6;0,0000131;
апрель 2018;9;0,0000207;
май 2018;17;0,0000423;
июнь 2018;13;0,0000341;
июль 2018;23;0,0000602;
август 2018;20;0,0000434;
сентябрь 2018;14;0,0000262;
октябрь 2018;14;0,0000285;
ноябрь 2018;14;0,0000279;
декабрь 2018;14;0,0000278;
январь 2019;17;0,0000356;
февраль 2019;16;0,0000316;
март 2019;6;0,0000127;
апрель 2019;7;0,0000160;
май 2019;9;0,0000230;
июнь 2019;20;0,0000509;
июль 2019;21;0,0000534;
август 2019;15;0,0000348;
сентябрь 2019;23;0,0000454;
октябрь 2019;15;0,0000293;
ноябрь 2019;13;0,0000237;
декабрь 2019;31;0,0000538;
январь 2020;24;0,0000432;
февраль 2020;10;0,0000169;
март 2020;2;0,0000024;
апрель 2020;19;0,0000285;
май 2020;12;0,0000217;
июнь 2020;17;0,0000354;
июль 2020;14;0,0000288;
август 2020;28;0,0000488;
сентябрь 2020;21;0,0000310;
октябрь 2020;30;0,0000427;
ноябрь 2020;10;0,0000141;
декабрь 2020;7;0,0000105;
январь 2021;12;0,0000187;
февраль 2021;20;0,0000294;
март 2021;28;0,0000404;
апрель 2021;30;0,0000457;
май 2021;46;0,0000782;
июнь 2021;21;0,0000383;
июль 2021;51;0,0000879;
август 2021;22;0,0000328;
сентябрь 2021;38;0,0000525;
октябрь 2021;17;0,0000224;
ноябрь 2021;17;0,0000219;
декабрь 2021;22;0,0000283;
январь 2022;24;0,0000296;
февраль 2022;117;0,0001406;
март 2022;240;0,0003023;
апрель 2022;136;0,0001749;
май 2022;101;0,0001529;
июнь 2022;94;0,0001472;
июль 2022;75;0,0001188;
август 2022;133;0,0001764;
сентябрь 2022;61;0,0000742;
октябрь 2022;57;0,0000689;
ноябрь 2022;38;0,0000451;
декабрь 2022;56;0,0000671;
январь 2023;61;0,0000801;
февраль 2023;110;0,0001330;
март 2023;63;0,0000828;
апрель 2023;81;0,0001075;
май 2023;103;0,0001572;
июнь 2023;75;0,0001167;
июль 2023;74;0,0001173;
август 2023;55;0,0000779;
сентябрь 2023;48;0,0000594;
октябрь 2023;65;0,0000819;
ноябрь 2023;43;0,0000530;
декабрь 2023;73;0,0000917;
январь 2024;87;0,0001163;
февраль 2024;56;0,0000732;
март 2024;51;0,0000705;
апрель 2024;30;0,0000422;
май 2024;80;0,0001383;
июнь 2024;69;0,0001185;
июль 2024;95;0,0001627;
август 2024;37;0,0000579;
сентябрь 2024;27;0,0000361;
октябрь 2024;56;0,0000720;
ноябрь 2024;27;0,0000327;
декабрь 2024;56;0,0000705;
