Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Тыва, все устройства
декабрь 2017;30;0,000588;
январь 2018;31;0,000638;
февраль 2018;18;0,000328;
март 2018;46;0,000966;
апрель 2018;13;0,000279;
май 2018;53;0,001300;
июнь 2018;64;0,001564;
июль 2018;45;0,001110;
август 2018;34;0,000719;
сентябрь 2018;37;0,000658;
октябрь 2018;53;0,000950;
ноябрь 2018;27;0,000473;
декабрь 2018;41;0,000729;
январь 2019;55;0,000984;
февраль 2019;23;0,000390;
март 2019;42;0,000723;
апрель 2019;36;0,000656;
май 2019;51;0,001075;
июнь 2019;75;0,001615;
июль 2019;51;0,001101;
август 2019;48;0,000910;
сентябрь 2019;122;0,001957;
октябрь 2019;102;0,001549;
ноябрь 2019;22;0,000297;
декабрь 2019;25;0,000337;
январь 2020;46;0,000665;
февраль 2020;15;0,000190;
март 2020;3;0,000027;
апрель 2020;10;0,000101;
май 2020;16;0,000190;
июнь 2020;22;0,000314;
июль 2020;11;0,000164;
август 2020;51;0,000644;
сентябрь 2020;28;0,000292;
октябрь 2020;20;0,000187;
ноябрь 2020;29;0,000273;
декабрь 2020;35;0,000368;
январь 2021;38;0,000445;
февраль 2021;23;0,000247;
март 2021;28;0,000286;
апрель 2021;21;0,000223;
май 2021;39;0,000461;
июнь 2021;44;0,000543;
июль 2021;62;0,000777;
август 2021;46;0,000493;
сентябрь 2021;32;0,000301;
октябрь 2021;40;0,000345;
ноябрь 2021;36;0,000293;
декабрь 2021;65;0,000553;
январь 2022;54;0,000436;
февраль 2022;108;0,000848;
март 2022;78;0,000665;
апрель 2022;228;0,002052;
май 2022;149;0,001585;
июнь 2022;163;0,001815;
июль 2022;148;0,001679;
август 2022;168;0,001549;
сентябрь 2022;132;0,001081;
октябрь 2022;206;0,001581;
ноябрь 2022;111;0,000803;
декабрь 2022;178;0,001364;
январь 2023;128;0,001120;
февраль 2023;229;0,001747;
март 2023;162;0,001259;
апрель 2023;230;0,001855;
май 2023;197;0,001978;
июнь 2023;238;0,002500;
июль 2023;117;0,001230;
август 2023;115;0,001012;
сентябрь 2023;104;0,000808;
октябрь 2023;92;0,000697;
ноябрь 2023;67;0,000466;
декабрь 2023;139;0,001029;
январь 2024;114;0,000916;
февраль 2024;133;0,001055;
март 2024;174;0,001413;
апрель 2024;91;0,000805;
май 2024;163;0,001804;
июнь 2024;217;0,002439;
июль 2024;116;0,001329;
август 2024;94;0,000897;
сентябрь 2024;68;0,000552;
октябрь 2024;92;0,000696;
ноябрь 2024;42;0,000294;
декабрь 2024;32;0,000236;
