Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Брянская область, все устройства
декабрь 2017;13;0,0000266;
январь 2018;8;0,0000167;
февраль 2018;13;0,0000252;
март 2018;29;0,0000648;
апрель 2018;33;0,0000741;
май 2018;19;0,0000442;
июнь 2018;23;0,0000512;
июль 2018;7;0,0000163;
август 2018;13;0,0000265;
сентябрь 2018;19;0,0000338;
октябрь 2018;9;0,0000176;
ноябрь 2018;14;0,0000267;
декабрь 2018;19;0,0000332;
январь 2019;17;0,0000318;
февраль 2019;24;0,0000431;
март 2019;14;0,0000277;
апрель 2019;12;0,0000242;
май 2019;18;0,0000402;
июнь 2019;30;0,0000638;
июль 2019;25;0,0000543;
август 2019;25;0,0000513;
сентябрь 2019;2;0,0000036;
октябрь 2019;6;0,0000107;
ноябрь 2019;20;0,0000341;
декабрь 2019;24;0,0000394;
январь 2020;7;0,0000121;
февраль 2020;17;0,0000275;
март 2020;3;0,0000036;
апрель 2020;13;0,0000166;
май 2020;13;0,0000218;
июнь 2020;10;0,0000179;
июль 2020;8;0,0000146;
август 2020;34;0,0000579;
сентябрь 2020;26;0,0000388;
октябрь 2020;19;0,0000248;
ноябрь 2020;26;0,0000378;
декабрь 2020;46;0,0000664;
январь 2021;31;0,0000475;
февраль 2021;51;0,0000695;
март 2021;33;0,0000444;
апрель 2021;30;0,0000401;
май 2021;35;0,0000508;
июнь 2021;41;0,0000620;
июль 2021;42;0,0000614;
август 2021;37;0,0000504;
сентябрь 2021;21;0,0000267;
октябрь 2021;37;0,0000445;
ноябрь 2021;28;0,0000336;
декабрь 2021;26;0,0000307;
январь 2022;26;0,0000314;
февраль 2022;97;0,0001090;
март 2022;58;0,0000671;
апрель 2022;68;0,0000833;
май 2022;67;0,0000918;
июнь 2022;64;0,0000868;
июль 2022;52;0,0000707;
август 2022;131;0,0001604;
сентябрь 2022;62;0,0000713;
октябрь 2022;31;0,0000354;
ноябрь 2022;24;0,0000272;
декабрь 2022;52;0,0000585;
январь 2023;33;0,0000407;
февраль 2023;37;0,0000424;
март 2023;39;0,0000490;
апрель 2023;43;0,0000544;
май 2023;48;0,0000659;
июнь 2023;59;0,0000817;
июль 2023;44;0,0000620;
август 2023;29;0,0000389;
сентябрь 2023;33;0,0000392;
октябрь 2023;47;0,0000569;
ноябрь 2023;34;0,0000412;
декабрь 2023;42;0,0000491;
январь 2024;47;0,0000588;
февраль 2024;28;0,0000350;
март 2024;31;0,0000410;
апрель 2024;32;0,0000436;
май 2024;31;0,0000469;
июнь 2024;51;0,0000783;
июль 2024;33;0,0000511;
август 2024;21;0,0000306;
сентябрь 2024;26;0,0000334;
октябрь 2024;25;0,0000314;
ноябрь 2024;22;0,0000266;
декабрь 2024;26;0,0000312;
