Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Еврейская автономная область, все устройства
декабрь 2017;2;0,000074;
январь 2018;0;0;
февраль 2018;2;0,000069;
март 2018;3;0,000109;
апрель 2018;2;0,000074;
май 2018;2;0,000077;
июнь 2018;5;0,000187;
июль 2018;3;0,000117;
август 2018;0;0;
сентябрь 2018;2;0,000061;
октябрь 2018;3;0,000095;
ноябрь 2018;2;0,000062;
декабрь 2018;0;0;
январь 2019;2;0,000060;
февраль 2019;1;0,000028;
март 2019;0;0;
апрель 2019;1;0,000033;
май 2019;1;0,000034;
июнь 2019;1;0,000035;
июль 2019;4;0,000140;
август 2019;8;0,000262;
сентябрь 2019;0;0;
октябрь 2019;2;0,000054;
ноябрь 2019;3;0,000074;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;2;0,000045;
март 2020;2;0,000034;
апрель 2020;3;0,000057;
май 2020;4;0,000090;
июнь 2020;0;0;
июль 2020;3;0,000077;
август 2020;4;0,000095;
сентябрь 2020;0;0;
октябрь 2020;3;0,000055;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;4;0,000082;
март 2021;4;0,000073;
апрель 2021;8;0,000140;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;2;0,000045;
август 2021;0;0;
сентябрь 2021;3;0,000050;
октябрь 2021;6;0,000095;
ноябрь 2021;2;0,000029;
декабрь 2021;6;0,000088;
январь 2022;0;0;
февраль 2022;42;0,000583;
март 2022;5;0,000069;
апрель 2022;13;0,000194;
май 2022;5;0,000080;
июнь 2022;15;0,000245;
июль 2022;5;0,000084;
август 2022;9;0,000136;
сентябрь 2022;11;0,000156;
октябрь 2022;1;0,000013;
ноябрь 2022;1;0,000013;
декабрь 2022;8;0,000103;
январь 2023;4;0,000057;
февраль 2023;11;0,000148;
март 2023;3;0,000041;
апрель 2023;8;0,000118;
май 2023;5;0,000082;
июнь 2023;2;0,000033;
июль 2023;11;0,000185;
август 2023;6;0,000098;
сентябрь 2023;0;0;
октябрь 2023;8;0,000117;
ноябрь 2023;10;0,000142;
декабрь 2023;11;0,000157;
январь 2024;11;0,000166;
февраль 2024;6;0,000090;
март 2024;1;0,000015;
апрель 2024;6;0,000099;
май 2024;4;0,000074;
июнь 2024;4;0,000076;
июль 2024;3;0,000058;
август 2024;6;0,000108;
сентябрь 2024;12;0,000191;
октябрь 2024;3;0,000046;
ноябрь 2024;0;0;
декабрь 2024;0;0;
