Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Магаданская область, все устройства
декабрь 2017;7;0,000208;
январь 2018;5;0,000152;
февраль 2018;15;0,000398;
март 2018;26;0,000731;
апрель 2018;9;0,000250;
май 2018;6;0,000195;
июнь 2018;7;0,000238;
июль 2018;8;0,000273;
август 2018;8;0,000231;
сентябрь 2018;4;0,000095;
октябрь 2018;14;0,000337;
ноябрь 2018;14;0,000354;
декабрь 2018;9;0,000221;
январь 2019;17;0,000422;
февраль 2019;10;0,000232;
март 2019;10;0,000245;
апрель 2019;16;0,000435;
май 2019;4;0,000124;
июнь 2019;11;0,000368;
июль 2019;21;0,000723;
август 2019;17;0,000490;
сентябрь 2019;30;0,000682;
октябрь 2019;23;0,000514;
ноябрь 2019;26;0,000553;
декабрь 2019;9;0,000187;
январь 2020;8;0,000171;
февраль 2020;13;0,000252;
март 2020;0;0;
апрель 2020;5;0,000084;
май 2020;16;0,000335;
июнь 2020;12;0,000278;
июль 2020;8;0,000192;
август 2020;32;0,000678;
сентябрь 2020;21;0,000361;
октябрь 2020;21;0,000343;
ноябрь 2020;9;0,000154;
декабрь 2020;27;0,000456;
январь 2021;23;0,000418;
февраль 2021;25;0,000421;
март 2021;21;0,000344;
апрель 2021;34;0,000572;
май 2021;18;0,000338;
июнь 2021;18;0,000370;
июль 2021;40;0,000830;
август 2021;35;0,000631;
сентябрь 2021;24;0,000372;
октябрь 2021;42;0,000642;
ноябрь 2021;22;0,000331;
декабрь 2021;24;0,000362;
январь 2022;42;0,000642;
февраль 2022;45;0,000623;
март 2022;25;0,000353;
апрель 2022;20;0,000279;
май 2022;32;0,000507;
июнь 2022;25;0,000429;
июль 2022;19;0,000318;
август 2022;87;0,001284;
сентябрь 2022;35;0,000471;
октябрь 2022;65;0,000805;
ноябрь 2022;16;0,000211;
декабрь 2022;34;0,000451;
январь 2023;20;0,000285;
февраль 2023;13;0,000170;
март 2023;28;0,000383;
апрель 2023;21;0,000295;
май 2023;31;0,000518;
июнь 2023;26;0,000449;
июль 2023;20;0,000353;
август 2023;21;0,000327;
сентябрь 2023;18;0,000256;
октябрь 2023;26;0,000373;
ноябрь 2023;8;0,000115;
декабрь 2023;6;0,000086;
январь 2024;12;0,000179;
февраль 2024;29;0,000414;
март 2024;30;0,000450;
апрель 2024;37;0,000585;
май 2024;29;0,000526;
июнь 2024;17;0,000328;
июль 2024;25;0,000484;
август 2024;28;0,000492;
сентябрь 2024;57;0,000859;
октябрь 2024;26;0,000380;
ноябрь 2024;25;0,000354;
декабрь 2024;21;0,000306;
