Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «авиабилет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ивановская область, все устройства
декабрь 2017;34;0,000087;
январь 2018;19;0,000050;
февраль 2018;53;0,000126;
март 2018;49;0,000128;
апрель 2018;35;0,000095;
май 2018;60;0,000172;
июнь 2018;57;0,000163;
июль 2018;68;0,000189;
август 2018;40;0,000100;
сентябрь 2018;68;0,000146;
октябрь 2018;61;0,000146;
ноябрь 2018;54;0,000129;
декабрь 2018;70;0,000161;
январь 2019;53;0,000129;
февраль 2019;58;0,000132;
март 2019;64;0,000157;
апрель 2019;55;0,000144;
май 2019;81;0,000227;
июнь 2019;77;0,000210;
июль 2019;46;0,000129;
август 2019;54;0,000141;
сентябрь 2019;43;0,000097;
октябрь 2019;49;0,000109;
ноябрь 2019;53;0,000115;
декабрь 2019;98;0,000210;
январь 2020;86;0,000191;
февраль 2020;28;0,000055;
март 2020;22;0,000035;
апрель 2020;20;0,000036;
май 2020;30;0,000066;
июнь 2020;12;0,000028;
июль 2020;42;0,000100;
август 2020;118;0,000252;
сентябрь 2020;55;0,000104;
октябрь 2020;27;0,000048;
ноябрь 2020;26;0,000047;
декабрь 2020;51;0,000098;
январь 2021;54;0,000105;
февраль 2021;70;0,000124;
март 2021;102;0,000174;
апрель 2021;75;0,000129;
май 2021;121;0,000222;
июнь 2021;58;0,000116;
июль 2021;101;0,000195;
август 2021;77;0,000133;
сентябрь 2021;69;0,000108;
октябрь 2021;68;0,000100;
ноябрь 2021;65;0,000097;
декабрь 2021;89;0,000133;
январь 2022;77;0,000119;
февраль 2022;171;0,000239;
март 2022;125;0,000184;
апрель 2022;250;0,000373;
май 2022;126;0,000213;
июнь 2022;140;0,000242;
июль 2022;159;0,000273;
август 2022;241;0,000368;
сентябрь 2022;169;0,000243;
октябрь 2022;92;0,000131;
ноябрь 2022;61;0,000087;
декабрь 2022;64;0,000091;
январь 2023;62;0,000096;
февраль 2023;70;0,000100;
март 2023;62;0,000095;
апрель 2023;108;0,000167;
май 2023;116;0,000197;
июнь 2023;100;0,000172;
июль 2023;96;0,000171;
август 2023;82;0,000136;
сентябрь 2023;78;0,000114;
октябрь 2023;59;0,000088;
ноябрь 2023;42;0,000063;
декабрь 2023;67;0,000099;
январь 2024;43;0,000067;
февраль 2024;57;0,000087;
март 2024;50;0,000080;
апрель 2024;68;0,000113;
май 2024;47;0,000088;
июнь 2024;107;0,000203;
июль 2024;48;0,000091;
август 2024;24;0,000043;
сентябрь 2024;34;0,000054;
октябрь 2024;32;0,000049;
ноябрь 2024;66;0,000097;
декабрь 2024;35;0,000051;
