Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Орловская область, все устройства
декабрь 2017;20;0,000060;
январь 2018;22;0,000067;
февраль 2018;46;0,000130;
март 2018;27;0,000084;
апрель 2018;45;0,000141;
май 2018;40;0,000133;
июнь 2018;38;0,000124;
июль 2018;60;0,000205;
август 2018;37;0,000109;
сентябрь 2018;31;0,000078;
октябрь 2018;41;0,000113;
ноябрь 2018;36;0,000099;
декабрь 2018;39;0,000104;
январь 2019;32;0,000089;
февраль 2019;54;0,000142;
март 2019;38;0,000110;
апрель 2019;19;0,000056;
май 2019;57;0,000188;
июнь 2019;55;0,000179;
июль 2019;23;0,000076;
август 2019;34;0,000105;
сентябрь 2019;28;0,000076;
октябрь 2019;37;0,000099;
ноябрь 2019;24;0,000061;
декабрь 2019;57;0,000142;
январь 2020;39;0,000101;
февраль 2020;25;0,000060;
март 2020;10;0,000019;
апрель 2020;21;0,000044;
май 2020;20;0,000051;
июнь 2020;19;0,000052;
июль 2020;27;0,000074;
август 2020;32;0,000081;
сентябрь 2020;14;0,000030;
октябрь 2020;25;0,000051;
ноябрь 2020;27;0,000056;
декабрь 2020;34;0,000074;
январь 2021;33;0,000074;
февраль 2021;79;0,000160;
март 2021;42;0,000084;
апрель 2021;64;0,000130;
май 2021;45;0,000097;
июнь 2021;62;0,000144;
июль 2021;44;0,000100;
август 2021;44;0,000090;
сентябрь 2021;66;0,000125;
октябрь 2021;56;0,000101;
ноябрь 2021;32;0,000057;
декабрь 2021;61;0,000107;
январь 2022;50;0,000088;
февраль 2022;97;0,000161;
март 2022;127;0,000219;
апрель 2022;146;0,000266;
май 2022;114;0,000232;
июнь 2022;99;0,000205;
июль 2022;53;0,000109;
август 2022;168;0,000311;
сентябрь 2022;70;0,000120;
октябрь 2022;43;0,000073;
ноябрь 2022;35;0,000059;
декабрь 2022;69;0,000118;
январь 2023;56;0,000104;
февраль 2023;93;0,000157;
март 2023;72;0,000133;
апрель 2023;131;0,000247;
май 2023;107;0,000219;
июнь 2023;106;0,000221;
июль 2023;47;0,000100;
август 2023;27;0,000055;
сентябрь 2023;65;0,000116;
октябрь 2023;58;0,000104;
ноябрь 2023;73;0,000133;
декабрь 2023;67;0,000118;
январь 2024;51;0,000097;
февраль 2024;54;0,000101;
март 2024;75;0,000149;
апрель 2024;47;0,000095;
май 2024;65;0,000150;
июнь 2024;51;0,000119;
июль 2024;65;0,000152;
август 2024;50;0,000110;
сентябрь 2024;60;0,000116;
октябрь 2024;57;0,000105;
ноябрь 2024;60;0,000108;
декабрь 2024;89;0,000161;
