Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Тульская область, все устройства
декабрь 2017;60;0,000090;
январь 2018;68;0,000103;
февраль 2018;89;0,000124;
март 2018;89;0,000137;
апрель 2018;85;0,000135;
май 2018;70;0,000119;
июнь 2018;81;0,000134;
июль 2018;75;0,000129;
август 2018;66;0,000096;
сентябрь 2018;64;0,000080;
октябрь 2018;72;0,000099;
ноябрь 2018;88;0,000122;
декабрь 2018;77;0,000102;
январь 2019;114;0,000157;
февраль 2019;103;0,000134;
март 2019;91;0,000127;
апрель 2019;95;0,000142;
май 2019;131;0,000216;
июнь 2019;99;0,000160;
июль 2019;110;0,000179;
август 2019;104;0,000159;
сентябрь 2019;83;0,000110;
октябрь 2019;90;0,000119;
ноябрь 2019;93;0,000119;
декабрь 2019;93;0,000118;
январь 2020;70;0,000090;
февраль 2020;43;0,000051;
март 2020;32;0,000030;
апрель 2020;32;0,000034;
май 2020;86;0,000110;
июнь 2020;46;0,000064;
июль 2020;64;0,000090;
август 2020;176;0,000222;
сентябрь 2020;60;0,000066;
октябрь 2020;45;0,000047;
ноябрь 2020;38;0,000042;
декабрь 2020;86;0,000096;
январь 2021;114;0,000132;
февраль 2021;154;0,000160;
март 2021;125;0,000127;
апрель 2021;98;0,000100;
май 2021;148;0,000159;
июнь 2021;151;0,000170;
июль 2021;124;0,000134;
август 2021;85;0,000087;
сентябрь 2021;111;0,000106;
октябрь 2021;141;0,000128;
ноябрь 2021;88;0,000081;
декабрь 2021;89;0,000080;
январь 2022;122;0,000115;
февраль 2022;295;0,000248;
март 2022;217;0,000190;
апрель 2022;272;0,000248;
май 2022;244;0,000246;
июнь 2022;227;0,000228;
июль 2022;170;0,000169;
август 2022;407;0,000372;
сентябрь 2022;191;0,000163;
октябрь 2022;143;0,000121;
ноябрь 2022;98;0,000085;
декабрь 2022;184;0,000159;
январь 2023;154;0,000144;
февраль 2023;154;0,000132;
март 2023;171;0,000160;
апрель 2023;200;0,000189;
май 2023;183;0,000186;
июнь 2023;175;0,000176;
июль 2023;146;0,000149;
август 2023;162;0,000161;
сентябрь 2023;165;0,000147;
октябрь 2023;121;0,000110;
ноябрь 2023;103;0,000095;
декабрь 2023;173;0,000154;
январь 2024;131;0,000125;
февраль 2024;141;0,000130;
март 2024;161;0,000159;
апрель 2024;154;0,000155;
май 2024;154;0,000172;
июнь 2024;152;0,000169;
июль 2024;159;0,000175;
август 2024;96;0,000102;
сентябрь 2024;87;0,000082;
октябрь 2024;105;0,000098;
ноябрь 2024;100;0,000090;
декабрь 2024;112;0,000100;
