Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Новгородская область, все устройства
декабрь 2017;11;0,0000477;
январь 2018;10;0,0000430;
февраль 2018;21;0,0000823;
март 2018;14;0,0000602;
апрель 2018;5;0,0000227;
май 2018;27;0,0001267;
июнь 2018;30;0,0001392;
июль 2018;35;0,0001596;
август 2018;18;0,0000738;
сентябрь 2018;9;0,0000320;
октябрь 2018;8;0,0000316;
ноябрь 2018;10;0,0000401;
декабрь 2018;20;0,0000771;
январь 2019;10;0,0000394;
февраль 2019;8;0,0000298;
март 2019;23;0,0000945;
апрель 2019;32;0,0001348;
май 2019;23;0,0001078;
июнь 2019;28;0,0001244;
июль 2019;25;0,0001147;
август 2019;10;0,0000427;
сентябрь 2019;12;0,0000443;
октябрь 2019;8;0,0000297;
ноябрь 2019;25;0,0000894;
декабрь 2019;16;0,0000554;
январь 2020;9;0,0000317;
февраль 2020;19;0,0000617;
март 2020;3;0,0000078;
апрель 2020;9;0,0000271;
май 2020;21;0,0000772;
июнь 2020;15;0,0000559;
июль 2020;23;0,0000882;
август 2020;30;0,0001020;
сентябрь 2020;35;0,0001019;
октябрь 2020;37;0,0001064;
ноябрь 2020;18;0,0000550;
декабрь 2020;18;0,0000576;
январь 2021;23;0,0000777;
февраль 2021;9;0,0000280;
март 2021;24;0,0000692;
апрель 2021;40;0,0001107;
май 2021;14;0,0000429;
июнь 2021;15;0,0000518;
июль 2021;23;0,0000772;
август 2021;13;0,0000369;
сентябрь 2021;12;0,0000312;
октябрь 2021;25;0,0000628;
ноябрь 2021;16;0,0000398;
декабрь 2021;12;0,0000295;
январь 2022;36;0,0000909;
февраль 2022;68;0,0001589;
март 2022;16;0,0000387;
апрель 2022;89;0,0002227;
май 2022;39;0,0001079;
июнь 2022;42;0,0001140;
июль 2022;37;0,0001014;
август 2022;108;0,0002679;
сентябрь 2022;103;0,0002431;
октябрь 2022;39;0,0000905;
ноябрь 2022;22;0,0000516;
декабрь 2022;42;0,0000998;
январь 2023;25;0,0000640;
февраль 2023;50;0,0001169;
март 2023;27;0,0000675;
апрель 2023;32;0,0000814;
май 2023;47;0,0001305;
июнь 2023;39;0,0001075;
июль 2023;29;0,0000801;
август 2023;41;0,0001093;
сентябрь 2023;28;0,0000669;
октябрь 2023;36;0,0000871;
ноябрь 2023;14;0,0000339;
декабрь 2023;25;0,0000596;
январь 2024;26;0,0000664;
февраль 2024;22;0,0000552;
март 2024;40;0,0001034;
апрель 2024;42;0,0001145;
май 2024;52;0,0001593;
июнь 2024;33;0,0000972;
июль 2024;30;0,0000910;
август 2024;28;0,0000806;
сентябрь 2024;44;0,0001132;
октябрь 2024;27;0,0000659;
ноябрь 2024;30;0,0000727;
декабрь 2024;15;0,0000362;
