Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Пензенская область, все устройства
декабрь 2017;46;0,0000889;
январь 2018;30;0,0000596;
февраль 2018;39;0,0000718;
март 2018;36;0,0000739;
апрель 2018;46;0,0000983;
май 2018;62;0,0001418;
июнь 2018;64;0,0001446;
июль 2018;90;0,0002051;
август 2018;50;0,0000984;
сентябрь 2018;49;0,0000846;
октябрь 2018;31;0,0000588;
ноябрь 2018;32;0,0000596;
декабрь 2018;42;0,0000761;
январь 2019;44;0,0000842;
февраль 2019;41;0,0000733;
март 2019;40;0,0000790;
апрель 2019;37;0,0000771;
май 2019;92;0,0002078;
июнь 2019;82;0,0001823;
июль 2019;30;0,0000664;
август 2019;42;0,0000873;
сентябрь 2019;37;0,0000657;
октябрь 2019;40;0,0000698;
ноябрь 2019;48;0,0000788;
декабрь 2019;58;0,0000902;
январь 2020;46;0,0000742;
февраль 2020;35;0,0000531;
март 2020;8;0,0000095;
апрель 2020;22;0,0000288;
май 2020;22;0,0000350;
июнь 2020;34;0,0000606;
июль 2020;22;0,0000389;
август 2020;40;0,0000632;
сентябрь 2020;26;0,0000349;
октябрь 2020;34;0,0000445;
ноябрь 2020;39;0,0000519;
декабрь 2020;69;0,0000966;
январь 2021;69;0,0001004;
февраль 2021;67;0,0000902;
март 2021;61;0,0000827;
апрель 2021;72;0,0001008;
май 2021;64;0,0000932;
июнь 2021;70;0,0001121;
июль 2021;91;0,0001395;
август 2021;70;0,0000957;
сентябрь 2021;66;0,0000825;
октябрь 2021;77;0,0000922;
ноябрь 2021;54;0,0000637;
декабрь 2021;40;0,0000471;
январь 2022;69;0,0000838;
февраль 2022;102;0,0001114;
март 2022;79;0,0000934;
апрель 2022;127;0,0001502;
май 2022;131;0,0001750;
июнь 2022;123;0,0001651;
июль 2022;123;0,0001687;
август 2022;217;0,0002620;
сентябрь 2022;135;0,0001519;
октябрь 2022;74;0,0000823;
ноябрь 2022;67;0,0000741;
декабрь 2022;87;0,0000962;
январь 2023;58;0,0000700;
февраль 2023;73;0,0000812;
март 2023;101;0,0001244;
апрель 2023;97;0,0001181;
май 2023;134;0,0001773;
июнь 2023;110;0,0001455;
июль 2023;83;0,0001139;
август 2023;63;0,0000798;
сентябрь 2023;74;0,0000835;
октябрь 2023;95;0,0001078;
ноябрь 2023;60;0,0000676;
декабрь 2023;69;0,0000767;
январь 2024;83;0,0001002;
февраль 2024;63;0,0000734;
март 2024;87;0,0001069;
апрель 2024;105;0,0001267;
май 2024;87;0,0001198;
июнь 2024;129;0,0001820;
июль 2024;86;0,0001223;
август 2024;49;0,0000681;
сентябрь 2024;56;0,0000681;
октябрь 2024;61;0,0000729;
ноябрь 2024;66;0,0000768;
декабрь 2024;80;0,0000925;
