Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Чувашская Республика, все устройства
декабрь 2017;8;0,0000170;
январь 2018;13;0,0000283;
февраль 2018;5;0,0000100;
март 2018;10;0,0000218;
апрель 2018;13;0,0000300;
май 2018;15;0,0000373;
июнь 2018;13;0,0000341;
июль 2018;10;0,0000261;
август 2018;4;0,0000086;
сентябрь 2018;9;0,0000169;
октябрь 2018;7;0,0000142;
ноябрь 2018;4;0,0000079;
декабрь 2018;1;0,0000019;
январь 2019;11;0,0000230;
февраль 2019;15;0,0000296;
март 2019;9;0,0000190;
апрель 2019;8;0,0000183;
май 2019;11;0,0000282;
июнь 2019;25;0,0000637;
июль 2019;14;0,0000356;
август 2019;5;0,0000116;
сентябрь 2019;13;0,0000256;
октябрь 2019;14;0,0000274;
ноябрь 2019;16;0,0000292;
декабрь 2019;15;0,0000260;
январь 2020;10;0,0000180;
февраль 2020;14;0,0000236;
март 2020;4;0,0000048;
апрель 2020;9;0,0000135;
май 2020;8;0,0000145;
июнь 2020;4;0,0000083;
июль 2020;14;0,0000288;
август 2020;18;0,0000313;
сентябрь 2020;12;0,0000177;
октябрь 2020;35;0,0000498;
ноябрь 2020;5;0,0000070;
декабрь 2020;8;0,0000120;
январь 2021;6;0,0000093;
февраль 2021;11;0,0000162;
март 2021;15;0,0000216;
апрель 2021;29;0,0000442;
май 2021;17;0,0000289;
июнь 2021;22;0,0000401;
июль 2021;26;0,0000448;
август 2021;27;0,0000403;
сентябрь 2021;15;0,0000207;
октябрь 2021;10;0,0000132;
ноябрь 2021;14;0,0000180;
декабрь 2021;16;0,0000205;
январь 2022;49;0,0000605;
февраль 2022;109;0,0001310;
март 2022;29;0,0000365;
апрель 2022;27;0,0000347;
май 2022;44;0,0000666;
июнь 2022;62;0,0000970;
июль 2022;35;0,0000554;
август 2022;44;0,0000583;
сентябрь 2022;46;0,0000559;
октябрь 2022;41;0,0000495;
ноябрь 2022;20;0,0000237;
декабрь 2022;28;0,0000335;
январь 2023;32;0,0000420;
февраль 2023;41;0,0000495;
март 2023;48;0,0000631;
апрель 2023;38;0,0000504;
май 2023;61;0,0000931;
июнь 2023;27;0,0000420;
июль 2023;26;0,0000412;
август 2023;16;0,0000226;
сентябрь 2023;42;0,0000519;
октябрь 2023;38;0,0000478;
ноябрь 2023;24;0,0000296;
декабрь 2023;58;0,0000729;
январь 2024;33;0,0000441;
февраль 2024;25;0,0000326;
март 2024;35;0,0000484;
апрель 2024;53;0,0000745;
май 2024;48;0,0000830;
июнь 2024;35;0,0000601;
июль 2024;46;0,0000787;
август 2024;28;0,0000438;
сентябрь 2024;33;0,0000442;
октябрь 2024;30;0,0000385;
ноябрь 2024;21;0,0000254;
декабрь 2024;27;0,0000340;
