Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Красноярский край, все устройства
декабрь 2017;327;0,000261;
январь 2018;349;0,000289;
февраль 2018;435;0,000341;
март 2018;389;0,000329;
апрель 2018;628;0,000505;
май 2018;588;0,000581;
июнь 2018;593;0,000571;
июль 2018;370;0,000345;
август 2018;267;0,000215;
сентябрь 2018;396;0,000278;
октябрь 2018;313;0,000236;
ноябрь 2018;273;0,000205;
декабрь 2018;316;0,000240;
январь 2019;359;0,000273;
февраль 2019;384;0,000289;
март 2019;391;0,000298;
апрель 2019;443;0,000360;
май 2019;505;0,000472;
июнь 2019;684;0,000657;
июль 2019;375;0,000347;
август 2019;302;0,000252;
сентябрь 2019;385;0,000277;
октябрь 2019;310;0,000221;
ноябрь 2019;318;0,000217;
декабрь 2019;397;0,000267;
январь 2020;391;0,000273;
февраль 2020;300;0,000190;
март 2020;79;0,000041;
апрель 2020;200;0,000112;
май 2020;294;0,000201;
июнь 2020;329;0,000249;
июль 2020;304;0,000232;
август 2020;555;0,000363;
сентябрь 2020;307;0,000163;
октябрь 2020;336;0,000162;
ноябрь 2020;323;0,000169;
декабрь 2020;391;0,000229;
январь 2021;371;0,000231;
февраль 2021;521;0,000294;
март 2021;542;0,000307;
апрель 2021;529;0,000308;
май 2021;617;0,000391;
июнь 2021;477;0,000324;
июль 2021;388;0,000258;
август 2021;368;0,000218;
сентябрь 2021;308;0,000163;
октябрь 2021;362;0,000187;
ноябрь 2021;263;0,000130;
декабрь 2021;361;0,000180;
январь 2022;415;0,000211;
февраль 2022;719;0,000335;
март 2022;822;0,000403;
апрель 2022;941;0,000499;
май 2022;1 265;0,000738;
июнь 2022;1 345;0,000822;
июль 2022;884;0,000499;
август 2022;1 198;0,000642;
сентябрь 2022;736;0,000360;
октябрь 2022;547;0,000257;
ноябрь 2022;424;0,000198;
декабрь 2022;486;0,000233;
январь 2023;468;0,000242;
февраль 2023;608;0,000282;
март 2023;935;0,000436;
апрель 2023;935;0,000461;
май 2023;1 089;0,000630;
июнь 2023;1 142;0,000701;
июль 2023;589;0,000346;
август 2023;537;0,000287;
сентябрь 2023;616;0,000294;
октябрь 2023;503;0,000242;
ноябрь 2023;488;0,000228;
декабрь 2023;581;0,000284;
январь 2024;521;0,000267;
февраль 2024;580;0,000282;
март 2024;554;0,000280;
апрель 2024;664;0,000362;
май 2024;838;0,000554;
июнь 2024;971;0,000664;
июль 2024;614;0,000416;
август 2024;437;0,000266;
сентябрь 2024;422;0,000223;
октябрь 2024;365;0,000189;
ноябрь 2024;422;0,000210;
декабрь 2024;422;0,000217;
