Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Тыва, все устройства
декабрь 2017;25;0,000490;
январь 2018;12;0,000247;
февраль 2018;8;0,000145;
март 2018;19;0,000399;
апрель 2018;5;0,000107;
май 2018;44;0,001079;
июнь 2018;35;0,000855;
июль 2018;12;0,000296;
август 2018;31;0,000655;
сентябрь 2018;38;0,000676;
октябрь 2018;32;0,000574;
ноябрь 2018;14;0,000245;
декабрь 2018;16;0,000284;
январь 2019;18;0,000322;
февраль 2019;25;0,000424;
март 2019;43;0,000740;
апрель 2019;27;0,000492;
май 2019;26;0,000548;
июнь 2019;49;0,001055;
июль 2019;43;0,000928;
август 2019;16;0,000303;
сентябрь 2019;18;0,000288;
октябрь 2019;11;0,000167;
ноябрь 2019;21;0,000284;
декабрь 2019;24;0,000324;
январь 2020;9;0,000130;
февраль 2020;10;0,000127;
март 2020;4;0,000037;
апрель 2020;7;0,000070;
май 2020;8;0,000095;
июнь 2020;12;0,000171;
июль 2020;5;0,000074;
август 2020;3;0,000037;
сентябрь 2020;19;0,000198;
октябрь 2020;3;0,000028;
ноябрь 2020;26;0,000245;
декабрь 2020;21;0,000220;
январь 2021;6;0,000070;
февраль 2021;17;0,000182;
март 2021;30;0,000306;
апрель 2021;20;0,000212;
май 2021;22;0,000260;
июнь 2021;18;0,000222;
июль 2021;53;0,000664;
август 2021;28;0,000300;
сентябрь 2021;24;0,000225;
октябрь 2021;25;0,000215;
ноябрь 2021;14;0,000114;
декабрь 2021;11;0,000093;
январь 2022;29;0,000234;
февраль 2022;29;0,000227;
март 2022;30;0,000256;
апрель 2022;100;0,000900;
май 2022;62;0,000659;
июнь 2022;61;0,000679;
июль 2022;58;0,000658;
август 2022;70;0,000645;
сентябрь 2022;119;0,000974;
октябрь 2022;76;0,000583;
ноябрь 2022;36;0,000260;
декабрь 2022;83;0,000636;
январь 2023;77;0,000673;
февраль 2023;94;0,000717;
март 2023;85;0,000661;
апрель 2023;58;0,000467;
май 2023;52;0,000522;
июнь 2023;89;0,000934;
июль 2023;33;0,000347;
август 2023;26;0,000228;
сентябрь 2023;22;0,000170;
октябрь 2023;21;0,000159;
ноябрь 2023;28;0,000194;
декабрь 2023;65;0,000481;
январь 2024;36;0,000289;
февраль 2024;49;0,000388;
март 2024;25;0,000203;
апрель 2024;55;0,000486;
май 2024;72;0,000797;
июнь 2024;69;0,000775;
июль 2024;31;0,000355;
август 2024;27;0,000257;
сентябрь 2024;17;0,000138;
октябрь 2024;21;0,000159;
ноябрь 2024;33;0,000231;
декабрь 2024;37;0,000273;
