Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Хакасия, все устройства
декабрь 2017;65;0,000342;
январь 2018;31;0,000170;
февраль 2018;67;0,000346;
март 2018;68;0,000384;
апрель 2018;62;0,000332;
май 2018;118;0,000753;
июнь 2018;134;0,000788;
июль 2018;120;0,000701;
август 2018;36;0,000189;
сентябрь 2018;38;0,000175;
октябрь 2018;51;0,000253;
ноябрь 2018;36;0,000180;
декабрь 2018;58;0,000288;
январь 2019;36;0,000183;
февраль 2019;52;0,000262;
март 2019;60;0,000303;
апрель 2019;97;0,000520;
май 2019;112;0,000686;
июнь 2019;123;0,000738;
июль 2019;49;0,000291;
август 2019;69;0,000387;
сентябрь 2019;30;0,000146;
октябрь 2019;56;0,000270;
ноябрь 2019;35;0,000158;
декабрь 2019;72;0,000311;
январь 2020;54;0,000243;
февраль 2020;44;0,000182;
март 2020;5;0,000016;
апрель 2020;20;0,000072;
май 2020;30;0,000126;
июнь 2020;28;0,000131;
июль 2020;26;0,000122;
август 2020;81;0,000348;
сентябрь 2020;35;0,000127;
октябрь 2020;49;0,000160;
ноябрь 2020;42;0,000147;
декабрь 2020;51;0,000190;
январь 2021;31;0,000124;
февраль 2021;60;0,000228;
март 2021;76;0,000282;
апрель 2021;146;0,000548;
май 2021;134;0,000537;
июнь 2021;116;0,000492;
июль 2021;136;0,000561;
август 2021;115;0,000441;
сентябрь 2021;104;0,000357;
октябрь 2021;73;0,000243;
ноябрь 2021;36;0,000115;
декабрь 2021;62;0,000198;
январь 2022;55;0,000173;
февраль 2022;96;0,000295;
март 2022;85;0,000276;
апрель 2022;156;0,000530;
май 2022;164;0,000602;
июнь 2022;136;0,000504;
июль 2022;75;0,000276;
август 2022;147;0,000496;
сентябрь 2022;69;0,000215;
октябрь 2022;60;0,000179;
ноябрь 2022;65;0,000192;
декабрь 2022;52;0,000154;
январь 2023;53;0,000170;
февраль 2023;53;0,000159;
март 2023;96;0,000293;
апрель 2023;80;0,000258;
май 2023;98;0,000363;
июнь 2023;113;0,000422;
июль 2023;42;0,000155;
август 2023;63;0,000218;
сентябрь 2023;52;0,000164;
октябрь 2023;57;0,000179;
ноябрь 2023;29;0,000087;
декабрь 2023;79;0,000238;
январь 2024;72;0,000232;
февраль 2024;57;0,000184;
март 2024;37;0,000125;
апрель 2024;61;0,000219;
май 2024;96;0,000397;
июнь 2024;77;0,000314;
июль 2024;48;0,000195;
август 2024;56;0,000212;
сентябрь 2024;50;0,000167;
октябрь 2024;32;0,000104;
ноябрь 2024;19;0,000059;
декабрь 2024;50;0,000156;
