Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Амурская область, все устройства
декабрь 2017;19;0,000096;
январь 2018;16;0,000082;
февраль 2018;15;0,000073;
март 2018;9;0,000048;
апрель 2018;11;0,000059;
май 2018;21;0,000119;
июнь 2018;17;0,000095;
июль 2018;26;0,000149;
август 2018;25;0,000127;
сентябрь 2018;27;0,000115;
октябрь 2018;13;0,000058;
ноябрь 2018;19;0,000087;
декабрь 2018;32;0,000145;
январь 2019;20;0,000093;
февраль 2019;33;0,000146;
март 2019;19;0,000088;
апрель 2019;39;0,000202;
май 2019;34;0,000202;
июнь 2019;55;0,000313;
июль 2019;38;0,000221;
август 2019;38;0,000195;
сентябрь 2019;46;0,000196;
октябрь 2019;30;0,000125;
ноябрь 2019;48;0,000184;
декабрь 2019;27;0,000100;
январь 2020;23;0,000088;
февраль 2020;18;0,000061;
март 2020;5;0,000014;
апрель 2020;42;0,000123;
май 2020;85;0,000319;
июнь 2020;40;0,000166;
июль 2020;35;0,000144;
август 2020;126;0,000441;
сентябрь 2020;103;0,000302;
октябрь 2020;61;0,000167;
ноябрь 2020;67;0,000193;
декабрь 2020;81;0,000240;
январь 2021;41;0,000129;
февраль 2021;52;0,000156;
март 2021;54;0,000161;
апрель 2021;107;0,000331;
май 2021;45;0,000151;
июнь 2021;79;0,000271;
июль 2021;68;0,000238;
август 2021;48;0,000152;
сентябрь 2021;101;0,000292;
октябрь 2021;86;0,000241;
ноябрь 2021;78;0,000210;
декабрь 2021;55;0,000152;
январь 2022;41;0,000116;
февраль 2022;131;0,000337;
март 2022;104;0,000277;
апрель 2022;100;0,000274;
май 2022;103;0,000319;
июнь 2022;86;0,000276;
июль 2022;60;0,000193;
август 2022;124;0,000349;
сентябрь 2022;92;0,000237;
октябрь 2022;79;0,000191;
ноябрь 2022;61;0,000151;
декабрь 2022;70;0,000171;
январь 2023;59;0,000157;
февраль 2023;48;0,000118;
март 2023;57;0,000147;
апрель 2023;42;0,000112;
май 2023;56;0,000172;
июнь 2023;55;0,000175;
июль 2023;69;0,000219;
август 2023;57;0,000168;
сентябрь 2023;63;0,000167;
октябрь 2023;70;0,000186;
ноябрь 2023;90;0,000234;
декабрь 2023;109;0,000287;
январь 2024;138;0,000385;
февраль 2024;127;0,000345;
март 2024;26;0,000074;
апрель 2024;75;0,000228;
май 2024;34;0,000118;
июнь 2024;62;0,000218;
июль 2024;78;0,000282;
август 2024;87;0,000287;
сентябрь 2024;104;0,000294;
октябрь 2024;59;0,000163;
ноябрь 2024;44;0,000115;
декабрь 2024;54;0,000145;
