Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Еврейская автономная область, все устройства
декабрь 2017;3;0,000112;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;8;0,000298;
май 2018;6;0,000233;
июнь 2018;7;0,000262;
июль 2018;1;0,000039;
август 2018;3;0,000107;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;1;0,000031;
декабрь 2018;2;0,000061;
январь 2019;5;0,000151;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;2;0,000070;
июль 2019;3;0,000105;
август 2019;0;0;
сентябрь 2019;1;0,000027;
октябрь 2019;0;0;
ноябрь 2019;2;0,000049;
декабрь 2019;4;0,000095;
январь 2020;2;0,000049;
февраль 2020;4;0,000091;
март 2020;0;0;
апрель 2020;0;0;
май 2020;3;0,000068;
июнь 2020;0;0;
июль 2020;1;0,000025;
август 2020;1;0,000023;
сентябрь 2020;0;0;
октябрь 2020;9;0,000167;
ноябрь 2020;0;0;
декабрь 2020;3;0,000062;
январь 2021;1;0,000021;
февраль 2021;1;0,000020;
март 2021;0;0;
апрель 2021;1;0,000017;
май 2021;3;0,000056;
июнь 2021;1;0,000021;
июль 2021;6;0,000135;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;4;0,000063;
ноябрь 2021;3;0,000044;
декабрь 2021;5;0,000074;
январь 2022;0;0;
февраль 2022;12;0,000166;
март 2022;0;0;
апрель 2022;6;0,000089;
май 2022;7;0,000113;
июнь 2022;7;0,000114;
июль 2022;7;0,000118;
август 2022;6;0,000091;
сентябрь 2022;3;0,000042;
октябрь 2022;3;0,000039;
ноябрь 2022;4;0,000053;
декабрь 2022;0;0;
январь 2023;2;0,000028;
февраль 2023;0;0;
март 2023;3;0,000041;
апрель 2023;2;0,000029;
май 2023;7;0,000115;
июнь 2023;2;0,000033;
июль 2023;26;0,000438;
август 2023;8;0,000130;
сентябрь 2023;1;0,000015;
октябрь 2023;3;0,000044;
ноябрь 2023;4;0,000057;
декабрь 2023;4;0,000057;
январь 2024;1;0,000015;
февраль 2024;0;0;
март 2024;6;0,000093;
апрель 2024;5;0,000083;
май 2024;1;0,000018;
июнь 2024;3;0,000057;
июль 2024;3;0,000058;
август 2024;3;0,000054;
сентябрь 2024;1;0,000015;
октябрь 2024;6;0,000092;
ноябрь 2024;2;0,000029;
декабрь 2024;2;0,000029;
