Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Чеченская Республика, все устройства
декабрь 2017;18;0,000159;
январь 2018;17;0,000155;
февраль 2018;14;0,000118;
март 2018;16;0,000153;
апрель 2018;19;0,000187;
май 2018;45;0,000461;
июнь 2018;48;0,000469;
июль 2018;37;0,000371;
август 2018;53;0,000486;
сентябрь 2018;48;0,000390;
октябрь 2018;47;0,000391;
ноябрь 2018;38;0,000294;
декабрь 2018;78;0,000567;
январь 2019;22;0,000172;
февраль 2019;54;0,000404;
март 2019;53;0,000421;
апрель 2019;49;0,000413;
май 2019;75;0,000692;
июнь 2019;82;0,000753;
июль 2019;90;0,000817;
август 2019;56;0,000481;
сентябрь 2019;34;0,000262;
октябрь 2019;50;0,000364;
ноябрь 2019;52;0,000332;
декабрь 2019;66;0,000404;
январь 2020;29;0,000187;
февраль 2020;51;0,000278;
март 2020;10;0,000045;
апрель 2020;30;0,000167;
май 2020;35;0,000221;
июнь 2020;20;0,000144;
июль 2020;27;0,000197;
август 2020;105;0,000700;
сентябрь 2020;83;0,000463;
октябрь 2020;13;0,000066;
ноябрь 2020;21;0,000121;
декабрь 2020;15;0,000088;
январь 2021;18;0,000114;
февраль 2021;15;0,000091;
март 2021;32;0,000197;
апрель 2021;32;0,000196;
май 2021;85;0,000513;
июнь 2021;61;0,000404;
июль 2021;56;0,000369;
август 2021;50;0,000291;
сентябрь 2021;84;0,000432;
октябрь 2021;104;0,000517;
ноябрь 2021;150;0,000686;
декабрь 2021;147;0,000652;
январь 2022;46;0,000217;
февраль 2022;78;0,000334;
март 2022;62;0,000301;
апрель 2022;38;0,000181;
май 2022;45;0,000241;
июнь 2022;57;0,000314;
июль 2022;84;0,000461;
август 2022;93;0,000470;
сентябрь 2022;37;0,000166;
октябрь 2022;30;0,000129;
ноябрь 2022;33;0,000134;
декабрь 2022;55;0,000183;
январь 2023;22;0,000084;
февраль 2023;26;0,000103;
март 2023;15;0,000065;
апрель 2023;18;0,000078;
май 2023;36;0,000195;
июнь 2023;32;0,000177;
июль 2023;27;0,000147;
август 2023;20;0,000101;
сентябрь 2023;11;0,000050;
октябрь 2023;18;0,000079;
ноябрь 2023;14;0,000057;
декабрь 2023;20;0,000084;
январь 2024;24;0,000110;
февраль 2024;17;0,000081;
март 2024;41;0,000225;
апрель 2024;24;0,000122;
май 2024;19;0,000113;
июнь 2024;32;0,000191;
июль 2024;30;0,000182;
август 2024;18;0,000102;
сентябрь 2024;7;0,000035;
октябрь 2024;15;0,000070;
ноябрь 2024;23;0,000095;
декабрь 2024;15;0,000064;
