Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Курганская область, все устройства
декабрь 2017;28;0,000095;
январь 2018;36;0,000131;
февраль 2018;39;0,000128;
март 2018;63;0,000222;
апрель 2018;55;0,000196;
май 2018;75;0,000293;
июнь 2018;110;0,000447;
июль 2018;85;0,000331;
август 2018;24;0,000085;
сентябрь 2018;38;0,000116;
октябрь 2018;15;0,000049;
ноябрь 2018;21;0,000067;
декабрь 2018;37;0,000116;
январь 2019;32;0,000103;
февраль 2019;42;0,000132;
март 2019;39;0,000129;
апрель 2019;55;0,000197;
май 2019;52;0,000201;
июнь 2019;81;0,000321;
июль 2019;37;0,000144;
август 2019;28;0,000104;
сентябрь 2019;29;0,000094;
октябрь 2019;30;0,000095;
ноябрь 2019;33;0,000100;
декабрь 2019;35;0,000102;
январь 2020;30;0,000088;
февраль 2020;13;0,000035;
март 2020;11;0,000023;
апрель 2020;21;0,000052;
май 2020;36;0,000109;
июнь 2020;16;0,000053;
июль 2020;26;0,000086;
август 2020;58;0,000173;
сентябрь 2020;40;0,000102;
октябрь 2020;27;0,000053;
ноябрь 2020;37;0,000085;
декабрь 2020;30;0,000076;
январь 2021;41;0,000112;
февраль 2021;26;0,000069;
март 2021;46;0,000119;
апрель 2021;73;0,000192;
май 2021;122;0,000329;
июнь 2021;42;0,000120;
июль 2021;85;0,000208;
август 2021;61;0,000149;
сентябрь 2021;46;0,000106;
октябрь 2021;38;0,000076;
ноябрь 2021;32;0,000068;
декабрь 2021;46;0,000099;
январь 2022;37;0,000075;
февраль 2022;76;0,000154;
март 2022;60;0,000132;
апрель 2022;64;0,000143;
май 2022;127;0,000309;
июнь 2022;106;0,000269;
июль 2022;82;0,000208;
август 2022;124;0,000290;
сентябрь 2022;41;0,000088;
октябрь 2022;33;0,000068;
ноябрь 2022;44;0,000089;
декабрь 2022;47;0,000096;
январь 2023;41;0,000091;
февраль 2023;52;0,000106;
март 2023;70;0,000154;
апрель 2023;127;0,000296;
май 2023;114;0,000285;
июнь 2023;64;0,000164;
июль 2023;43;0,000109;
август 2023;38;0,000092;
сентябрь 2023;37;0,000080;
октябрь 2023;32;0,000070;
ноябрь 2023;31;0,000063;
декабрь 2023;42;0,000089;
январь 2024;59;0,000133;
февраль 2024;47;0,000104;
март 2024;33;0,000074;
апрель 2024;49;0,000118;
май 2024;87;0,000248;
июнь 2024;64;0,000183;
июль 2024;29;0,000083;
август 2024;17;0,000046;
сентябрь 2024;19;0,000045;
октябрь 2024;19;0,000043;
ноябрь 2024;35;0,000077;
декабрь 2024;34;0,000076;
