Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ямало-Ненецкий автономный округ, все устройства
декабрь 2017;78;0,00035;
январь 2018;78;0,00035;
февраль 2018;65;0,00027;
март 2018;130;0,00057;
апрель 2018;143;0,00064;
май 2018;170;0,00102;
июнь 2018;133;0,00086;
июль 2018;85;0,00053;
август 2018;118;0,00054;
сентябрь 2018;92;0,00035;
октябрь 2018;69;0,00027;
ноябрь 2018;109;0,00044;
декабрь 2018;73;0,00029;
январь 2019;107;0,00042;
февраль 2019;134;0,00052;
март 2019;142;0,00055;
апрель 2019;168;0,00071;
май 2019;195;0,00109;
июнь 2019;144;0,00090;
июль 2019;99;0,00058;
август 2019;99;0,00045;
сентябрь 2019;63;0,00023;
октябрь 2019;74;0,00027;
ноябрь 2019;79;0,00028;
декабрь 2019;104;0,00036;
январь 2020;157;0,00053;
февраль 2020;69;0,00022;
март 2020;44;0,00011;
апрель 2020;115;0,00031;
май 2020;159;0,00060;
июнь 2020;71;0,00031;
июль 2020;127;0,00059;
август 2020;255;0,00093;
сентябрь 2020;122;0,00036;
октябрь 2020;103;0,00026;
ноябрь 2020;83;0,00023;
декабрь 2020;110;0,00033;
январь 2021;138;0,00042;
февраль 2021;160;0,00047;
март 2021;156;0,00044;
апрель 2021;217;0,00064;
май 2021;171;0,00061;
июнь 2021;99;0,00041;
июль 2021;109;0,00044;
август 2021;122;0,00037;
сентябрь 2021;80;0,00021;
октябрь 2021;76;0,00019;
ноябрь 2021;80;0,00019;
декабрь 2021;120;0,00029;
январь 2022;125;0,00030;
февраль 2022;370;0,00087;
март 2022;204;0,00049;
апрель 2022;267;0,00070;
май 2022;196;0,00063;
июнь 2022;181;0,00065;
июль 2022;98;0,00034;
август 2022;249;0,00067;
сентябрь 2022;108;0,00026;
октябрь 2022;91;0,00021;
ноябрь 2022;93;0,00021;
декабрь 2022;148;0,00034;
январь 2023;115;0,00028;
февраль 2023;153;0,00034;
март 2023;154;0,00035;
апрель 2023;196;0,00050;
май 2023;260;0,00085;
июнь 2023;143;0,00053;
июль 2023;105;0,00038;
август 2023;77;0,00022;
сентябрь 2023;138;0,00034;
октябрь 2023;99;0,00024;
ноябрь 2023;83;0,00020;
декабрь 2023;127;0,00031;
январь 2024;113;0,00028;
февраль 2024;114;0,00028;
март 2024;167;0,00042;
апрель 2024;104;0,00028;
май 2024;224;0,00080;
июнь 2024;161;0,00064;
июль 2024;134;0,00053;
август 2024;73;0,00023;
сентябрь 2024;79;0,00020;
октябрь 2024;65;0,00016;
ноябрь 2024;104;0,00025;
декабрь 2024;63;0,00016;
