Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Костромская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;3;0,0000118;
апрель 2018;1;0,0000040;
май 2018;3;0,0000129;
июнь 2018;11;0,0000469;
июль 2018;10;0,0000420;
август 2018;4;0,0000149;
сентябрь 2018;3;0,0000097;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;1;0,0000034;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;3;0,0000117;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;1;0,0000034;
октябрь 2019;0;0;
ноябрь 2019;2;0,0000065;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;4;0,0000100;
май 2020;5;0,0000164;
июнь 2020;2;0,0000069;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;1;0,0000027;
декабрь 2020;0;0;
январь 2021;2;0,0000058;
февраль 2021;2;0,0000053;
март 2021;0;0;
апрель 2021;0;0;
май 2021;4;0,0000114;
июнь 2021;3;0,0000090;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;1;0,0000023;
ноябрь 2021;2;0,0000045;
декабрь 2021;4;0,0000091;
январь 2022;5;0,0000117;
февраль 2022;3;0,0000064;
март 2022;1;0,0000022;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;1;0,0000025;
июль 2022;1;0,0000025;
август 2022;1;0,0000023;
сентябрь 2022;1;0,0000021;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;1;0,0000026;
июнь 2023;0;0;
июль 2023;2;0,0000053;
август 2023;1;0,0000025;
сентябрь 2023;4;0,0000090;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;1;0,0000028;
июнь 2024;0;0;
июль 2024;1;0,0000028;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;3;0,0000068;
