Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Псковская область, все устройства
декабрь 2017;1;0,0000044;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;4;0,0000189;
август 2018;2;0,0000084;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;5;0,0000203;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;3;0,0000127;
апрель 2019;0;0;
май 2019;1;0,0000048;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;3;0,0000134;
сентябрь 2019;2;0,0000078;
октябрь 2019;4;0,0000154;
ноябрь 2019;6;0,0000224;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;1;0,0000033;
март 2020;0;0;
апрель 2020;16;0,0000478;
май 2020;2;0,0000075;
июнь 2020;1;0,0000038;
июль 2020;2;0,0000079;
август 2020;6;0,0000221;
сентябрь 2020;6;0,0000195;
октябрь 2020;3;0,0000092;
ноябрь 2020;0;0;
декабрь 2020;1;0,0000032;
январь 2021;3;0,0000103;
февраль 2021;0;0;
март 2021;1;0,0000029;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;2;0,0000058;
сентябрь 2021;0;0;
октябрь 2021;1;0,0000025;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;1;0,0000025;
февраль 2022;0;0;
март 2022;1;0,0000024;
апрель 2022;1;0,0000025;
май 2022;2;0,0000055;
июнь 2022;3;0,0000083;
июль 2022;1;0,0000027;
август 2022;4;0,0000103;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;1;0,0000026;
май 2023;3;0,0000085;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;1;0,0000025;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;2;0,0000053;
апрель 2024;3;0,0000084;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;1;0,0000029;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;5;0,0000124;
