Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Республика Мордовия, все устройства
декабрь 2017;1;0,0000033;
январь 2018;1;0,0000034;
февраль 2018;4;0,0000129;
март 2018;4;0,0000143;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;1;0,0000042;
июль 2018;2;0,0000084;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;2;0,0000071;
апрель 2019;3;0,0000112;
май 2019;2;0,0000083;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;14;0,0000443;
ноябрь 2019;3;0,0000087;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;1;0,0000027;
март 2020;2;0,0000040;
апрель 2020;12;0,0000290;
май 2020;5;0,0000144;
июнь 2020;1;0,0000033;
июль 2020;4;0,0000133;
август 2020;1;0,0000028;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;2;0,0000046;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;4;0,0000096;
апрель 2021;1;0,0000024;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;3;0,0000073;
сентябрь 2021;0;0;
октябрь 2021;1;0,0000021;
ноябрь 2021;1;0,0000020;
декабрь 2021;5;0,0000107;
январь 2022;9;0,0000197;
февраль 2022;1;0,0000019;
март 2022;1;0,0000021;
апрель 2022;0;0;
май 2022;1;0,0000024;
июнь 2022;0;0;
июль 2022;13;0,0000340;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;2;0,0000039;
ноябрь 2022;2;0,0000039;
декабрь 2022;0;0;
январь 2023;1;0,0000022;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;1;0,0000022;
май 2023;2;0,0000049;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;1;0,0000028;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
