Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Волгоградская область, все устройства
декабрь 2017;5;0,00000527;
январь 2018;5;0,00000534;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;2;0,00000229;
май 2018;7;0,00000858;
июнь 2018;2;0,00000237;
июль 2018;1;0,00000122;
август 2018;4;0,00000430;
сентябрь 2018;4;0,00000370;
октябрь 2018;3;0,00000305;
ноябрь 2018;5;0,00000508;
декабрь 2018;6;0,00000592;
январь 2019;50;0,00005022;
февраль 2019;6;0,00000592;
март 2019;3;0,00000322;
апрель 2019;2;0,00000228;
май 2019;9;0,00001112;
июнь 2019;7;0,00000839;
июль 2019;10;0,00001197;
август 2019;25;0,00002791;
сентябрь 2019;20;0,00002007;
октябрь 2019;11;0,00001084;
ноябрь 2019;6;0,00000557;
декабрь 2019;3;0,00000272;
январь 2020;8;0,00000751;
февраль 2020;4;0,00000354;
март 2020;5;0,00000337;
апрель 2020;10;0,00000777;
май 2020;7;0,00000647;
июнь 2020;10;0,00001009;
июль 2020;6;0,00000599;
август 2020;2;0,00000181;
сентябрь 2020;4;0,00000310;
октябрь 2020;6;0,00000431;
ноябрь 2020;37;0,00002779;
декабрь 2020;10;0,00000778;
январь 2021;24;0,00001911;
февраль 2021;31;0,00002197;
март 2021;35;0,00002679;
апрель 2021;42;0,00003206;
май 2021;32;0,00002514;
июнь 2021;4;0,00000347;
июль 2021;1;0,00000086;
август 2021;1;0,00000076;
сентябрь 2021;8;0,00000558;
октябрь 2021;3;0,00000201;
ноябрь 2021;5;0,00000323;
декабрь 2021;6;0,00000388;
январь 2022;6;0,00000396;
февраль 2022;5;0,00000295;
март 2022;2;0,00000131;
апрель 2022;0;0;
май 2022;4;0,00000290;
июнь 2022;0;0;
июль 2022;9;0,00000650;
август 2022;5;0,00000329;
сентябрь 2022;1;0,00000061;
октябрь 2022;5;0,00000300;
ноябрь 2022;3;0,00000179;
декабрь 2022;3;0,00000181;
январь 2023;4;0,00000263;
февраль 2023;3;0,00000182;
март 2023;1;0,00000065;
апрель 2023;2;0,00000130;
май 2023;2;0,00000144;
июнь 2023;0;0;
июль 2023;14;0,00001030;
август 2023;2;0,00000141;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;1;0,00000060;
декабрь 2023;4;0,00000247;
январь 2024;1;0,00000065;
февраль 2024;1;0,00000062;
март 2024;0;0;
апрель 2024;1;0,00000070;
май 2024;4;0,00000316;
июнь 2024;4;0,00000318;
июль 2024;2;0,00000160;
август 2024;2;0,00000151;
сентябрь 2024;4;0,00000263;
октябрь 2024;5;0,00000315;
ноябрь 2024;3;0,00000182;
декабрь 2024;2;0,00000122;
