Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Республика Хакасия, все устройства
декабрь 2017;1;0,0000052;
январь 2018;0;0;
февраль 2018;4;0,0000206;
март 2018;1;0,0000056;
апрель 2018;1;0,0000053;
май 2018;0;0;
июнь 2018;3;0,0000176;
июль 2018;3;0,0000175;
август 2018;2;0,0000105;
сентябрь 2018;2;0,0000092;
октябрь 2018;1;0,0000049;
ноябрь 2018;2;0,0000100;
декабрь 2018;0;0;
январь 2019;3;0,0000153;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;1;0,0000053;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;5;0,0000280;
сентябрь 2019;15;0,0000732;
октябрь 2019;0;0;
ноябрь 2019;1;0,0000045;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;2;0,0000066;
апрель 2020;2;0,0000072;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;2;0,0000086;
сентябрь 2020;1;0,0000036;
октябрь 2020;0;0;
ноябрь 2020;1;0,0000035;
декабрь 2020;1;0,0000037;
январь 2021;2;0,0000080;
февраль 2021;2;0,0000076;
март 2021;3;0,0000111;
апрель 2021;0;0;
май 2021;1;0,0000040;
июнь 2021;0;0;
июль 2021;1;0,0000041;
август 2021;0;0;
сентябрь 2021;2;0,0000068;
октябрь 2021;2;0,0000066;
ноябрь 2021;3;0,0000096;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;0;0;
март 2022;0;0;
апрель 2022;1;0,0000034;
май 2022;1;0,0000036;
июнь 2022;3;0,0000111;
июль 2022;0;0;
август 2022;13;0,0000439;
сентябрь 2022;0;0;
октябрь 2022;1;0,0000029;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;4;0,0000126;
октябрь 2023;0;0;
ноябрь 2023;1;0,0000030;
декабрь 2023;2;0,0000060;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;1;0,0000033;
апрель 2024;1;0,0000035;
май 2024;0;0;
июнь 2024;9;0,0000367;
июль 2024;0;0;
август 2024;1;0,0000037;
сентябрь 2024;2;0,0000067;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
