Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Сахалинская область, все устройства
декабрь 2017;233;0,0017950;
январь 2018;193;0,0014981;
февраль 2018;112;0,0008074;
март 2018;280;0,0021660;
апрель 2018;241;0,0018247;
май 2018;297;0,0024508;
июнь 2018;478;0,0039431;
июль 2018;236;0,0019860;
август 2018;237;0,0017957;
сентябрь 2018;359;0,0023208;
октябрь 2018;301;0,0020758;
ноябрь 2018;173;0,0012299;
декабрь 2018;127;0,0008653;
январь 2019;294;0,0020678;
февраль 2019;448;0,0029586;
март 2019;369;0,0025708;
апрель 2019;141;0,0010848;
май 2019;228;0,0018980;
июнь 2019;260;0,0022025;
июль 2019;287;0,0024414;
август 2019;481;0,0037494;
сентябрь 2019;647;0,0042047;
октябрь 2019;697;0,0044921;
ноябрь 2019;669;0,0040574;
декабрь 2019;728;0,0042191;
январь 2020;514;0,0030542;
февраль 2020;520;0,0027503;
март 2020;256;0,0011045;
апрель 2020;617;0,0028890;
май 2020;478;0,0026722;
июнь 2020;263;0,0016424;
июль 2020;177;0,0011042;
август 2020;162;0,0009471;
сентябрь 2020;218;0,0010896;
октябрь 2020;240;0,0011405;
ноябрь 2020;327;0,0016427;
декабрь 2020;330;0,0016640;
январь 2021;180;0,0009564;
февраль 2021;84;0,0004159;
март 2021;113;0,0005301;
апрель 2021;66;0,0003120;
май 2021;85;0,0004410;
июнь 2021;118;0,0006561;
июль 2021;144;0,0007152;
август 2021;100;0,0004720;
сентябрь 2021;55;0,0002413;
октябрь 2021;266;0,0011565;
ноябрь 2021;131;0,0005453;
декабрь 2021;86;0,0003500;
январь 2022;29;0,0001222;
февраль 2022;48;0,0001817;
март 2022;66;0,0002581;
апрель 2022;35;0,0001407;
май 2022;42;0,0001872;
июнь 2022;48;0,0002248;
июль 2022;31;0,0001395;
август 2022;21;0,0000870;
сентябрь 2022;12;0,0000457;
октябрь 2022;13;0,0000458;
ноябрь 2022;5;0,0000183;
декабрь 2022;6;0,0000225;
январь 2023;13;0,0000523;
февраль 2023;13;0,0000480;
март 2023;33;0,0001271;
апрель 2023;8;0,0000320;
май 2023;11;0,0000501;
июнь 2023;16;0,0000749;
июль 2023;16;0,0000733;
август 2023;4;0,0000176;
сентябрь 2023;7;0,0000278;
октябрь 2023;2;0,0000079;
ноябрь 2023;16;0,0000627;
декабрь 2023;14;0,0000538;
январь 2024;3;0,0000123;
февраль 2024;11;0,0000443;
март 2024;6;0,0000252;
апрель 2024;25;0,0001072;
май 2024;7;0,0000346;
июнь 2024;10;0,0000496;
июль 2024;12;0,0000591;
август 2024;65;0,0003109;
сентябрь 2024;32;0,0001329;
октябрь 2024;44;0,0001793;
ноябрь 2024;26;0,0001014;
декабрь 2024;18;0,0000705;
