Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Хабаровский край, все устройства
декабрь 2017;17;0,0000300;
январь 2018;28;0,0000497;
февраль 2018;93;0,0001500;
март 2018;258;0,0004637;
апрель 2018;315;0,0005732;
май 2018;61;0,0001157;
июнь 2018;32;0,0000641;
июль 2018;33;0,0000637;
август 2018;18;0,0000311;
сентябрь 2018;18;0,0000269;
октябрь 2018;29;0,0000474;
ноябрь 2018;25;0,0000427;
декабрь 2018;31;0,0000582;
январь 2019;109;0,0002195;
февраль 2019;120;0,0002308;
март 2019;94;0,0001896;
апрель 2019;29;0,0000621;
май 2019;64;0,0001525;
июнь 2019;3;0,0000077;
июль 2019;5;0,0000130;
август 2019;0;0;
сентябрь 2019;1;0,0000019;
октябрь 2019;1;0,0000019;
ноябрь 2019;2;0,0000036;
декабрь 2019;0;0;
январь 2020;3;0,0000056;
февраль 2020;7;0,0000121;
март 2020;1;0,0000013;
апрель 2020;0;0;
май 2020;3;0,0000054;
июнь 2020;2;0,0000040;
июль 2020;0;0;
август 2020;2;0,0000037;
сентябрь 2020;4;0,0000064;
октябрь 2020;0;0;
ноябрь 2020;13;0,0000203;
декабрь 2020;7;0,0000111;
январь 2021;1;0,0000016;
февраль 2021;0;0;
март 2021;2;0,0000031;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;2;0,0000035;
июль 2021;3;0,0000054;
август 2021;0;0;
сентябрь 2021;3;0,0000047;
октябрь 2021;2;0,0000030;
ноябрь 2021;0;0;
декабрь 2021;1;0,0000014;
январь 2022;8;0,0000119;
февраль 2022;4;0,0000054;
март 2022;4;0,0000055;
апрель 2022;2;0,0000028;
май 2022;2;0,0000031;
июнь 2022;2;0,0000032;
июль 2022;1;0,0000016;
август 2022;6;0,0000087;
сентябрь 2022;2;0,0000026;
октябрь 2022;1;0,0000012;
ноябрь 2022;3;0,0000039;
декабрь 2022;2;0,0000026;
январь 2023;0;0;
февраль 2023;1;0,0000012;
март 2023;1;0,0000013;
апрель 2023;0;0;
май 2023;8;0,0000126;
июнь 2023;4;0,0000066;
июль 2023;10;0,0000167;
август 2023;6;0,0000092;
сентябрь 2023;5;0,0000069;
октябрь 2023;8;0,0000111;
ноябрь 2023;26;0,0000354;
декабрь 2023;0;0;
январь 2024;3;0,0000043;
февраль 2024;0;0;
март 2024;1;0,0000014;
апрель 2024;1;0,0000015;
май 2024;0;0;
июнь 2024;7;0,0000124;
июль 2024;2;0,0000036;
август 2024;2;0,0000033;
сентябрь 2024;3;0,0000043;
октябрь 2024;1;0,0000014;
ноябрь 2024;7;0,0000094;
декабрь 2024;1;0,0000013;
