Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Ставропольский край, все устройства
декабрь 2017;4;0,00000451;
январь 2018;3;0,00000345;
февраль 2018;1;0,00000106;
март 2018;2;0,00000247;
апрель 2018;0;0;
май 2018;3;0,00000384;
июнь 2018;2;0,00000244;
июль 2018;12;0,00001464;
август 2018;14;0,00001560;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;4;0,00000405;
декабрь 2018;2;0,00000193;
январь 2019;13;0,00001344;
февраль 2019;23;0,00002246;
март 2019;0;0;
апрель 2019;0;0;
май 2019;9;0,00001045;
июнь 2019;1;0,00000113;
июль 2019;6;0,00000694;
август 2019;2;0,00000218;
сентябрь 2019;3;0,00000300;
октябрь 2019;1;0,00000096;
ноябрь 2019;0;0;
декабрь 2019;2;0,00000174;
январь 2020;2;0,00000183;
февраль 2020;2;0,00000167;
март 2020;6;0,00000397;
апрель 2020;2;0,00000140;
май 2020;8;0,00000708;
июнь 2020;0;0;
июль 2020;5;0,00000475;
август 2020;0;0;
сентябрь 2020;3;0,00000230;
октябрь 2020;4;0,00000290;
ноябрь 2020;2;0,00000143;
декабрь 2020;0;0;
январь 2021;5;0,00000415;
февраль 2021;1;0,00000075;
март 2021;5;0,00000387;
апрель 2021;0;0;
май 2021;1;0,00000081;
июнь 2021;4;0,00000332;
июль 2021;15;0,00001221;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;7;0,00000494;
ноябрь 2021;4;0,00000282;
декабрь 2021;2;0,00000137;
январь 2022;7;0,00000504;
февраль 2022;1;0,00000064;
март 2022;0;0;
апрель 2022;1;0,00000068;
май 2022;5;0,00000371;
июнь 2022;5;0,00000373;
июль 2022;2;0,00000147;
август 2022;3;0,00000206;
сентябрь 2022;6;0,00000385;
октябрь 2022;0;0;
ноябрь 2022;2;0,00000125;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;2;0,00000127;
март 2023;0;0;
апрель 2023;0;0;
май 2023;5;0,00000370;
июнь 2023;3;0,00000226;
июль 2023;1;0,00000076;
август 2023;1;0,00000073;
сентябрь 2023;1;0,00000067;
октябрь 2023;1;0,00000067;
ноябрь 2023;1;0,00000066;
декабрь 2023;2;0,00000131;
январь 2024;0;0;
февраль 2024;5;0,00000346;
март 2024;1;0,00000074;
апрель 2024;4;0,00000298;
май 2024;1;0,00000083;
июнь 2024;2;0,00000164;
июль 2024;0;0;
август 2024;2;0,00000155;
сентябрь 2024;3;0,00000213;
октябрь 2024;1;0,00000068;
ноябрь 2024;5;0,00000329;
декабрь 2024;0;0;
