Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Чеченская Республика, все устройства
декабрь 2017;2;0,0000176;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;1;0,0000098;
май 2018;0;0;
июнь 2018;5;0,0000489;
июль 2018;2;0,0000200;
август 2018;0;0;
сентябрь 2018;4;0,0000325;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;11;0,0000861;
февраль 2019;5;0,0000374;
март 2019;1;0,0000079;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;5;0,0000319;
декабрь 2019;1;0,0000061;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;2;0,0000091;
апрель 2020;0;0;
май 2020;1;0,0000063;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;1;0,0000063;
февраль 2021;0;0;
март 2021;5;0,0000308;
апрель 2021;1;0,0000061;
май 2021;1;0,0000060;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;3;0,0000137;
декабрь 2021;1;0,0000044;
январь 2022;0;0;
февраль 2022;0;0;
март 2022;1;0,0000048;
апрель 2022;0;0;
май 2022;2;0,0000107;
июнь 2022;1;0,0000055;
июль 2022;1;0,0000054;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;1;0,0000033;
январь 2023;0;0;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;0;0;
май 2023;4;0,0000217;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;1;0,0000059;
июнь 2024;1;0,0000059;
июль 2024;3;0,0000182;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
