Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Тюменская область, все устройства
декабрь 2017;25;0,0000346;
январь 2018;3;0,0000042;
февраль 2018;10;0,0000132;
март 2018;12;0,0000171;
апрель 2018;27;0,0000379;
май 2018;10;0,0000158;
июнь 2018;10;0,0000163;
июль 2018;12;0,0000192;
август 2018;5;0,0000066;
сентябрь 2018;8;0,0000095;
октябрь 2018;8;0,0000104;
ноябрь 2018;15;0,0000195;
декабрь 2018;8;0,0000103;
январь 2019;39;0,0000489;
февраль 2019;40;0,0000514;
март 2019;30;0,0000393;
апрель 2019;24;0,0000339;
май 2019;14;0,0000215;
июнь 2019;1;0,0000016;
июль 2019;5;0,0000079;
август 2019;25;0,0000346;
сентябрь 2019;8;0,0000100;
октябрь 2019;25;0,0000305;
ноябрь 2019;16;0,0000188;
декабрь 2019;22;0,0000251;
январь 2020;26;0,0000298;
февраль 2020;9;0,0000096;
март 2020;10;0,0000088;
апрель 2020;1;0,0000010;
май 2020;14;0,0000165;
июнь 2020;19;0,0000249;
июль 2020;28;0,0000369;
август 2020;21;0,0000241;
сентябрь 2020;7;0,0000069;
октябрь 2020;5;0,0000044;
ноябрь 2020;8;0,0000074;
декабрь 2020;5;0,0000049;
январь 2021;20;0,0000209;
февраль 2021;2;0,0000019;
март 2021;10;0,0000097;
апрель 2021;4;0,0000040;
май 2021;10;0,0000104;
июнь 2021;5;0,0000053;
июль 2021;14;0,0000152;
август 2021;4;0,0000039;
сентябрь 2021;5;0,0000044;
октябрь 2021;3;0,0000024;
ноябрь 2021;5;0,0000042;
декабрь 2021;18;0,0000155;
январь 2022;9;0,0000073;
февраль 2022;24;0,0000189;
март 2022;14;0,0000116;
апрель 2022;3;0,0000025;
май 2022;6;0,0000056;
июнь 2022;19;0,0000186;
июль 2022;13;0,0000127;
август 2022;13;0,0000111;
сентябрь 2022;4;0,0000031;
октябрь 2022;10;0,0000077;
ноябрь 2022;3;0,0000022;
декабрь 2022;3;0,0000023;
январь 2023;12;0,0000101;
февраль 2023;3;0,0000023;
март 2023;6;0,0000048;
апрель 2023;15;0,0000129;
май 2023;4;0,0000037;
июнь 2023;3;0,0000029;
июль 2023;2;0,0000019;
август 2023;17;0,0000149;
сентябрь 2023;11;0,0000088;
октябрь 2023;37;0,0000298;
ноябрь 2023;21;0,0000162;
декабрь 2023;2;0,0000016;
январь 2024;7;0,0000057;
февраль 2024;27;0,0000222;
март 2024;29;0,0000247;
апрель 2024;18;0,0000157;
май 2024;15;0,0000154;
июнь 2024;9;0,0000094;
июль 2024;9;0,0000094;
август 2024;6;0,0000056;
сентябрь 2024;15;0,0000125;
октябрь 2024;7;0,0000057;
ноябрь 2024;4;0,0000031;
декабрь 2024;7;0,0000056;
