Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Ивановская область, все устройства
декабрь 2017;20;0,0000517;
январь 2018;16;0,0000424;
февраль 2018;10;0,0000237;
март 2018;6;0,0000157;
апрель 2018;10;0,0000272;
май 2018;2;0,0000057;
июнь 2018;2;0,0000057;
июль 2018;3;0,0000083;
август 2018;1;0,0000025;
сентябрь 2018;13;0,0000280;
октябрь 2018;4;0,0000095;
ноябрь 2018;11;0,0000264;
декабрь 2018;9;0,0000208;
январь 2019;11;0,0000269;
февраль 2019;10;0,0000227;
март 2019;3;0,0000073;
апрель 2019;7;0,0000183;
май 2019;17;0,0000478;
июнь 2019;25;0,0000682;
июль 2019;13;0,0000364;
август 2019;10;0,0000262;
сентябрь 2019;6;0,0000135;
октябрь 2019;4;0,0000089;
ноябрь 2019;0;0;
декабрь 2019;4;0,0000085;
январь 2020;11;0,0000244;
февраль 2020;5;0,0000099;
март 2020;8;0,0000129;
апрель 2020;5;0,0000090;
май 2020;6;0,0000132;
июнь 2020;15;0,0000354;
июль 2020;23;0,0000548;
август 2020;13;0,0000278;
сентябрь 2020;2;0,0000037;
октябрь 2020;3;0,0000053;
ноябрь 2020;5;0,0000090;
декабрь 2020;6;0,0000116;
январь 2021;0;0;
февраль 2021;2;0,0000035;
март 2021;3;0,0000051;
апрель 2021;5;0,0000086;
май 2021;8;0,0000146;
июнь 2021;1;0,0000020;
июль 2021;13;0,0000251;
август 2021;32;0,0000554;
сентябрь 2021;12;0,0000189;
октябрь 2021;2;0,0000029;
ноябрь 2021;20;0,0000298;
декабрь 2021;22;0,0000331;
январь 2022;9;0,0000139;
февраль 2022;22;0,0000307;
март 2022;23;0,0000339;
апрель 2022;5;0,0000074;
май 2022;7;0,0000118;
июнь 2022;9;0,0000156;
июль 2022;9;0,0000154;
август 2022;7;0,0000107;
сентябрь 2022;2;0,0000028;
октябрь 2022;5;0,0000071;
ноябрь 2022;6;0,0000086;
декабрь 2022;2;0,0000028;
январь 2023;2;0,0000031;
февраль 2023;5;0,0000071;
март 2023;2;0,0000030;
апрель 2023;5;0,0000077;
май 2023;1;0,0000017;
июнь 2023;4;0,0000068;
июль 2023;1;0,0000017;
август 2023;1;0,0000016;
сентябрь 2023;1;0,0000014;
октябрь 2023;1;0,0000015;
ноябрь 2023;0;0;
декабрь 2023;2;0,0000029;
январь 2024;2;0,0000031;
февраль 2024;2;0,0000030;
март 2024;2;0,0000032;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;3;0,0000056;
июль 2024;3;0,0000057;
август 2024;4;0,0000071;
сентябрь 2024;3;0,0000047;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;1;0,0000014;
