Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш издейм», по месяцам, 31.12.2017 — 30.01.2025, Нижегородская область, все устройства
декабрь 2017;0;0;
январь 2018;7;0,00000293;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;5;0,00000285;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;10;0,00000381;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;1;0,00000039;
январь 2019;1;0,00000041;
февраль 2019;2;0,00000078;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;1;0,00000048;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;1;0,00000037;
декабрь 2019;1;0,00000037;
январь 2020;0;0;
февраль 2020;2;0,00000074;
март 2020;0;0;
апрель 2020;0;0;
май 2020;2;0,00000081;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;1;0,00000031;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;1;0,00000033;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;0;0;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;0;0;
март 2022;0;0;
апрель 2022;0;0;
май 2022;2;0,00000069;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;0;0;
декабрь 2022;0;0;
январь 2023;1;0,00000031;
февраль 2023;0;0;
март 2023;1;0,00000031;
апрель 2023;2;0,00000064;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
