Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш издейм», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;3;0,00000163;
январь 2018;9;0,00000494;
февраль 2018;2;0,00000098;
март 2018;17;0,00000932;
апрель 2018;21;0,00001128;
май 2018;2;0,00000125;
июнь 2018;3;0,00000186;
июль 2018;1;0,00000061;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;1;0,00000050;
ноябрь 2018;12;0,00000561;
декабрь 2018;0;0;
январь 2019;3;0,00000143;
февраль 2019;2;0,00000092;
март 2019;8;0,00000386;
апрель 2019;24;0,00001184;
май 2019;14;0,00000763;
июнь 2019;5;0,00000281;
июль 2019;3;0,00000169;
август 2019;1;0,00000052;
сентябрь 2019;1;0,00000048;
октябрь 2019;2;0,00000096;
ноябрь 2019;1;0,00000045;
декабрь 2019;2;0,00000087;
январь 2020;3;0,00000137;
февраль 2020;6;0,00000255;
март 2020;4;0,00000145;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;1;0,00000037;
ноябрь 2020;1;0,00000037;
декабрь 2020;2;0,00000079;
январь 2021;1;0,00000042;
февраль 2021;1;0,00000038;
март 2021;0;0;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;6;0,00000255;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;4;0,00000161;
январь 2022;0;0;
февраль 2022;0;0;
март 2022;1;0,00000039;
апрель 2022;3;0,00000120;
май 2022;0;0;
июнь 2022;0;0;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;2;0,00000072;
октябрь 2022;5;0,00000176;
ноябрь 2022;4;0,00000141;
декабрь 2022;0;0;
январь 2023;1;0,00000038;
февраль 2023;0;0;
март 2023;0;0;
апрель 2023;1;0,00000040;
май 2023;1;0,00000045;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;2;0,00000076;
декабрь 2023;2;0,00000075;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
