Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Ярославская область, все устройства
декабрь 2017;1 763;0,0029;
январь 2018;1 918;0,0032;
февраль 2018;2 107;0,0032;
март 2018;1 746;0,0029;
апрель 2018;1 729;0,0030;
май 2018;2 258;0,0041;
июнь 2018;2 055;0,0037;
июль 2018;2 011;0,0036;
август 2018;1 862;0,0028;
сентябрь 2018;2 304;0,0031;
октябрь 2018;2 205;0,0033;
ноябрь 2018;2 576;0,0038;
декабрь 2018;2 117;0,0030;
январь 2019;2 123;0,0032;
февраль 2019;1 989;0,0028;
март 2019;1 972;0,0030;
апрель 2019;1 896;0,0029;
май 2019;1 789;0,0030;
июнь 2019;1 893;0,0031;
июль 2019;1 806;0,0029;
август 2019;1 614;0,0024;
сентябрь 2019;1 806;0,0024;
октябрь 2019;1 818;0,0025;
ноябрь 2019;2 161;0,0029;
декабрь 2019;2 019;0,0026;
январь 2020;1 893;0,0026;
февраль 2020;2 136;0,0027;
март 2020;2 354;0,0023;
апрель 2020;2 337;0,0026;
май 2020;2 490;0,0035;
июнь 2020;2 287;0,0032;
июль 2020;2 084;0,0030;
август 2020;1 991;0,0027;
сентябрь 2020;2 121;0,0025;
октябрь 2020;2 158;0,0025;
ноябрь 2020;2 239;0,0026;
декабрь 2020;2 067;0,0025;
январь 2021;2 049;0,0025;
февраль 2021;2 305;0,0025;
март 2021;2 273;0,0025;
апрель 2021;2 188;0,0024;
май 2021;2 106;0,0025;
июнь 2021;2 133;0,0027;
июль 2021;2 151;0,0026;
август 2021;2 091;0,0023;
сентябрь 2021;2 297;0,0023;
октябрь 2021;2 257;0,0022;
ноябрь 2021;2 339;0,0022;
декабрь 2021;2 149;0,0020;
январь 2022;2 319;0,0023;
февраль 2022;3 492;0,0031;
март 2022;2 532;0,0024;
апрель 2022;2 262;0,0021;
май 2022;2 437;0,0026;
июнь 2022;2 403;0,0026;
июль 2022;2 374;0,0026;
август 2022;2 290;0,0022;
сентябрь 2022;2 218;0,0020;
октябрь 2022;2 391;0,0022;
ноябрь 2022;2 196;0,0020;
декабрь 2022;1 993;0,0018;
январь 2023;2 054;0,0020;
февраль 2023;2 515;0,0023;
март 2023;2 124;0,0021;
апрель 2023;1 927;0,0019;
май 2023;2 054;0,0022;
июнь 2023;2 098;0,0023;
июль 2023;2 069;0,0023;
август 2023;1 921;0,0020;
сентябрь 2023;1 920;0,0018;
октябрь 2023;2 141;0,0020;
ноябрь 2023;2 070;0,0020;
декабрь 2023;2 024;0,0019;
январь 2024;1 802;0,0018;
февраль 2024;2 084;0,0020;
март 2024;1 858;0,0019;
апрель 2024;1 999;0,0022;
май 2024;1 692;0,0020;
июнь 2024;1 667;0,0020;
июль 2024;1 661;0,0020;
август 2024;1 507;0,0017;
сентябрь 2024;1 838;0,0019;
октябрь 2024;2 006;0,0020;
ноябрь 2024;2 025;0,0019;
декабрь 2024;1 985;0,0019;
