Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Архангельская область, все устройства
декабрь 2017;1 479;0,0035;
январь 2018;1 482;0,0036;
февраль 2018;1 653;0,0037;
март 2018;1 440;0,0034;
апрель 2018;1 276;0,0031;
май 2018;1 692;0,0046;
июнь 2018;1 362;0,0040;
июль 2018;1 430;0,0040;
август 2018;1 382;0,0032;
сентябрь 2018;1 569;0,0031;
октябрь 2018;1 612;0,0036;
ноябрь 2018;1 711;0,0038;
декабрь 2018;1 486;0,0032;
январь 2019;1 398;0,0032;
февраль 2019;1 381;0,0030;
март 2019;1 317;0,0029;
апрель 2019;1 225;0,0029;
май 2019;1 066;0,0029;
июнь 2019;1 239;0,0034;
июль 2019;1 144;0,0032;
август 2019;1 128;0,0028;
сентябрь 2019;1 220;0,0026;
октябрь 2019;1 392;0,0030;
ноябрь 2019;1 401;0,0029;
декабрь 2019;1 359;0,0027;
январь 2020;1 258;0,0026;
февраль 2020;1 401;0,0027;
март 2020;1 699;0,0024;
апрель 2020;1 800;0,0029;
май 2020;1 609;0,0035;
июнь 2020;1 578;0,0037;
июль 2020;1 448;0,0035;
август 2020;1 446;0,0030;
сентябрь 2020;1 420;0,0025;
октябрь 2020;1 494;0,0025;
ноябрь 2020;1 754;0,0030;
декабрь 2020;1 477;0,0026;
январь 2021;1 359;0,0025;
февраль 2021;1 625;0,0029;
март 2021;1 686;0,0027;
апрель 2021;1 560;0,0025;
май 2021;1 531;0,0028;
июнь 2021;1 277;0,0028;
июль 2021;1 274;0,0027;
август 2021;1 512;0,0025;
сентябрь 2021;1 642;0,0024;
октябрь 2021;1 633;0,0024;
ноябрь 2021;1 749;0,0024;
декабрь 2021;1 412;0,0020;
январь 2022;1 620;0,0023;
февраль 2022;2 284;0,0030;
март 2022;1 747;0,0024;
апрель 2022;1 516;0,0021;
май 2022;1 647;0,0027;
июнь 2022;1 566;0,0027;
июль 2022;1 732;0,0031;
август 2022;1 486;0,0022;
сентябрь 2022;1 599;0,0022;
октябрь 2022;1 757;0,0023;
ноябрь 2022;1 558;0,0020;
декабрь 2022;1 459;0,0019;
январь 2023;1 531;0,0022;
февраль 2023;1 755;0,0023;
март 2023;1 594;0,0022;
апрель 2023;1 487;0,0022;
май 2023;1 372;0,0023;
июнь 2023;1 392;0,0024;
июль 2023;1 388;0,0025;
август 2023;1 420;0,0022;
сентябрь 2023;1 426;0,0020;
октябрь 2023;1 427;0,0020;
ноябрь 2023;1 570;0,0022;
декабрь 2023;1 308;0,0018;
январь 2024;1 403;0,0020;
февраль 2024;1 449;0,0021;
март 2024;1 410;0,0020;
апрель 2024;1 531;0,0024;
май 2024;1 214;0,0023;
июнь 2024;1 185;0,0023;
июль 2024;1 141;0,0022;
август 2024;1 052;0,0018;
сентябрь 2024;1 236;0,0018;
октябрь 2024;1 177;0,0017;
ноябрь 2024;1 471;0,0020;
декабрь 2024;1 441;0,0020;
