Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Калининградская область, все устройства
декабрь 2017;1 175;0,0035;
январь 2018;980;0,0030;
февраль 2018;1 173;0,0033;
март 2018;1 043;0,0033;
апрель 2018;1 133;0,0035;
май 2018;1 503;0,0048;
июнь 2018;1 577;0,0050;
июль 2018;1 364;0,0042;
август 2018;1 164;0,0032;
сентябрь 2018;1 418;0,0036;
октябрь 2018;1 258;0,0035;
ноябрь 2018;1 595;0,0044;
декабрь 2018;1 332;0,0035;
январь 2019;1 287;0,0036;
февраль 2019;1 212;0,0032;
март 2019;1 161;0,0033;
апрель 2019;1 217;0,0034;
май 2019;1 043;0,0034;
июнь 2019;1 085;0,0033;
июль 2019;1 090;0,0034;
август 2019;1 000;0,0029;
сентябрь 2019;1 063;0,0028;
октябрь 2019;1 165;0,0031;
ноябрь 2019;1 461;0,0037;
декабрь 2019;1 291;0,0032;
январь 2020;1 118;0,0028;
февраль 2020;1 423;0,0033;
март 2020;1 554;0,0029;
апрель 2020;1 648;0,0035;
май 2020;1 536;0,0039;
июнь 2020;1 538;0,0040;
июль 2020;1 420;0,0036;
август 2020;1 312;0,0031;
сентябрь 2020;1 432;0,0030;
октябрь 2020;1 368;0,0027;
ноябрь 2020;1 661;0,0034;
декабрь 2020;1 294;0,0028;
январь 2021;1 259;0,0029;
февраль 2021;1 408;0,0029;
март 2021;1 420;0,0028;
апрель 2021;1 571;0,0030;
май 2021;1 394;0,0028;
июнь 2021;1 299;0,0028;
июль 2021;1 305;0,0026;
август 2021;1 353;0,0026;
сентябрь 2021;1 505;0,0026;
октябрь 2021;1 595;0,0026;
ноябрь 2021;1 525;0,0026;
декабрь 2021;1 518;0,0025;
январь 2022;1 724;0,0030;
февраль 2022;2 940;0,0048;
март 2022;2 044;0,0034;
апрель 2022;1 742;0,0029;
май 2022;1 853;0,0033;
июнь 2022;1 708;0,0030;
июль 2022;1 594;0,0028;
август 2022;1 764;0,0029;
сентябрь 2022;1 621;0,0025;
октябрь 2022;1 698;0,0026;
ноябрь 2022;1 566;0,0024;
декабрь 2022;1 376;0,0021;
январь 2023;1 399;0,0023;
февраль 2023;1 826;0,0028;
март 2023;1 502;0,0025;
апрель 2023;1 367;0,0023;
май 2023;1 569;0,0028;
июнь 2023;1 479;0,0026;
июль 2023;1 553;0,0027;
август 2023;1 224;0,0021;
сентябрь 2023;1 349;0,0021;
октябрь 2023;1 442;0,0023;
ноябрь 2023;1 287;0,0020;
декабрь 2023;1 326;0,0021;
январь 2024;1 436;0,0024;
февраль 2024;1 350;0,0022;
март 2024;1 332;0,0022;
апрель 2024;1 316;0,0023;
май 2024;1 365;0,0026;
июнь 2024;1 229;0,0022;
июль 2024;1 291;0,0024;
август 2024;1 285;0,0023;
сентябрь 2024;1 285;0,0021;
октябрь 2024;1 362;0,0022;
ноябрь 2024;1 391;0,0021;
декабрь 2024;1 441;0,0023;
