Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Нижегородская область, все устройства
декабрь 2017;7 612;0,0031;
январь 2018;8 286;0,0034;
февраль 2018;8 280;0,0034;
март 2018;7 064;0,0033;
апрель 2018;6 208;0,0031;
май 2018;7 970;0,0044;
июнь 2018;7 708;0,0043;
июль 2018;7 090;0,0037;
август 2018;6 688;0,0030;
сентябрь 2018;8 139;0,0031;
октябрь 2018;7 492;0,0033;
ноябрь 2018;8 691;0,0037;
декабрь 2018;8 310;0,0032;
январь 2019;7 314;0,0030;
февраль 2019;7 362;0,0028;
март 2019;6 924;0,0028;
апрель 2019;6 790;0,0029;
май 2019;6 439;0,0031;
июнь 2019;6 271;0,0030;
июль 2019;6 033;0,0030;
август 2019;5 632;0,0026;
сентябрь 2019;6 335;0,0025;
октябрь 2019;6 688;0,0026;
ноябрь 2019;7 582;0,0028;
декабрь 2019;7 105;0,0026;
январь 2020;6 548;0,0025;
февраль 2020;7 184;0,0026;
март 2020;8 127;0,0024;
апрель 2020;7 552;0,0026;
май 2020;7 725;0,0031;
июнь 2020;7 964;0,0030;
июль 2020;7 459;0,0028;
август 2020;6 783;0,0025;
сентябрь 2020;7 145;0,0024;
октябрь 2020;7 336;0,0022;
ноябрь 2020;7 658;0,0024;
декабрь 2020;6 354;0,0022;
январь 2021;6 104;0,0022;
февраль 2021;7 104;0,0024;
март 2021;6 481;0,0022;
апрель 2021;6 098;0,0022;
май 2021;6 523;0,0024;
июнь 2021;7 067;0,0026;
июль 2021;7 497;0,0028;
август 2021;6 451;0,0022;
сентябрь 2021;6 560;0,0021;
октябрь 2021;6 511;0,0021;
ноябрь 2021;7 324;0,0023;
декабрь 2021;6 359;0,0020;
январь 2022;6 802;0,0022;
февраль 2022;9 282;0,0028;
март 2022;6 915;0,0021;
апрель 2022;6 399;0,0019;
май 2022;7 215;0,0025;
июнь 2022;6 868;0,0024;
июль 2022;7 110;0,0024;
август 2022;6 981;0,0021;
сентябрь 2022;7 084;0,0020;
октябрь 2022;6 996;0,0020;
ноябрь 2022;6 997;0,0020;
декабрь 2022;6 252;0,0018;
январь 2023;6 008;0,0019;
февраль 2023;6 849;0,0019;
март 2023;5 698;0,0018;
апрель 2023;5 704;0,0018;
май 2023;5 750;0,0021;
июнь 2023;5 580;0,0020;
июль 2023;5 813;0,0021;
август 2023;5 143;0,0018;
сентябрь 2023;5 770;0,0018;
октябрь 2023;5 761;0,0018;
ноябрь 2023;5 677;0,0018;
декабрь 2023;5 232;0,0016;
январь 2024;5 308;0,0017;
февраль 2024;5 541;0,0018;
март 2024;5 790;0,0020;
апрель 2024;5 379;0,0019;
май 2024;4 762;0,0020;
июнь 2024;4 894;0,0021;
июль 2024;4 671;0,0019;
август 2024;4 546;0,0018;
сентябрь 2024;5 436;0,0018;
октябрь 2024;5 154;0,0017;
ноябрь 2024;5 762;0,0018;
декабрь 2024;5 319;0,0017;
