Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Мордовия, все устройства
декабрь 2017;869;0,0029;
январь 2018;927;0,0031;
февраль 2018;912;0,0029;
март 2018;687;0,0024;
апрель 2018;702;0,0027;
май 2018;966;0,0040;
июнь 2018;1 011;0,0042;
июль 2018;855;0,0036;
август 2018;820;0,0029;
сентябрь 2018;920;0,0027;
октябрь 2018;911;0,0030;
ноябрь 2018;1 072;0,0034;
декабрь 2018;766;0,0024;
январь 2019;838;0,0028;
февраль 2019;835;0,0026;
март 2019;703;0,0025;
апрель 2019;682;0,0025;
май 2019;638;0,0026;
июнь 2019;676;0,0028;
июль 2019;701;0,0029;
август 2019;557;0,0020;
сентябрь 2019;671;0,0021;
октябрь 2019;723;0,0022;
ноябрь 2019;824;0,0023;
декабрь 2019;860;0,0024;
январь 2020;773;0,0022;
февраль 2020;850;0,0023;
март 2020;1 040;0,0021;
апрель 2020;1 111;0,0026;
май 2020;988;0,0028;
июнь 2020;865;0,0028;
июль 2020;890;0,0029;
август 2020;791;0,0022;
сентябрь 2020;978;0,0023;
октябрь 2020;1 000;0,0022;
ноябрь 2020;1 083;0,0025;
декабрь 2020;818;0,0020;
январь 2021;820;0,0020;
февраль 2021;880;0,0021;
март 2021;876;0,0021;
апрель 2021;894;0,0022;
май 2021;959;0,0025;
июнь 2021;874;0,0026;
июль 2021;1 203;0,0034;
август 2021;874;0,0021;
сентябрь 2021;1 111;0,0025;
октябрь 2021;1 027;0,0021;
ноябрь 2021;1 110;0,0022;
декабрь 2021;1 007;0,0021;
январь 2022;976;0,0021;
февраль 2022;1 271;0,0025;
март 2022;906;0,0019;
апрель 2022;905;0,0019;
май 2022;868;0,0021;
июнь 2022;979;0,0025;
июль 2022;943;0,0024;
август 2022;915;0,0020;
сентябрь 2022;993;0,0020;
октябрь 2022;962;0,0019;
ноябрь 2022;1 103;0,0021;
декабрь 2022;781;0,0015;
январь 2023;824;0,0018;
февраль 2023;1 001;0,0020;
март 2023;825;0,0018;
апрель 2023;795;0,0017;
май 2023;820;0,0020;
июнь 2023;817;0,0021;
июль 2023;844;0,0022;
август 2023;729;0,0017;
сентябрь 2023;817;0,0017;
октябрь 2023;825;0,0017;
ноябрь 2023;919;0,0019;
декабрь 2023;874;0,0018;
январь 2024;686;0,0015;
февраль 2024;882;0,0019;
март 2024;790;0,0019;
апрель 2024;779;0,0018;
май 2024;736;0,0021;
июнь 2024;724;0,0020;
июль 2024;637;0,0018;
август 2024;635;0,0017;
сентябрь 2024;727;0,0016;
октябрь 2024;893;0,0019;
ноябрь 2024;1 053;0,0022;
декабрь 2024;835;0,0018;
