Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;14 289;0,0032;
январь 2018;15 695;0,0036;
февраль 2018;17 562;0,0036;
март 2018;14 737;0,0034;
апрель 2018;14 554;0,0034;
май 2018;22 486;0,0056;
июнь 2018;20 708;0,0050;
июль 2018;17 405;0,0042;
август 2018;16 862;0,0036;
сентябрь 2018;20 839;0,0038;
октябрь 2018;19 065;0,0037;
ноябрь 2018;22 420;0,0044;
декабрь 2018;18 839;0,0035;
январь 2019;17 935;0,0035;
февраль 2019;18 285;0,0033;
март 2019;16 159;0,0032;
апрель 2019;15 517;0,0032;
май 2019;16 047;0,0035;
июнь 2019;15 778;0,0034;
июль 2019;14 893;0,0032;
август 2019;14 391;0,0029;
сентябрь 2019;15 882;0,0029;
октябрь 2019;15 895;0,0029;
ноябрь 2019;21 119;0,0037;
декабрь 2019;18 262;0,0031;
январь 2020;17 115;0,0030;
февраль 2020;19 267;0,0030;
март 2020;24 657;0,0031;
апрель 2020;23 228;0,0031;
май 2020;24 746;0,0041;
июнь 2020;20 905;0,0038;
июль 2020;18 934;0,0035;
август 2020;17 777;0,0030;
сентябрь 2020;19 329;0,0028;
октябрь 2020;19 475;0,0027;
ноябрь 2020;20 345;0,0030;
декабрь 2020;17 239;0,0026;
январь 2021;16 432;0,0027;
февраль 2021;18 441;0,0027;
март 2021;19 486;0,0027;
апрель 2021;20 452;0,0026;
май 2021;21 774;0,0029;
июнь 2021;17 591;0,0028;
июль 2021;18 008;0,0027;
август 2021;19 902;0,0025;
сентябрь 2021;21 756;0,0026;
октябрь 2021;21 817;0,0024;
ноябрь 2021;23 472;0,0026;
декабрь 2021;20 300;0,0022;
январь 2022;23 475;0,0027;
февраль 2022;39 662;0,0040;
март 2022;29 155;0,0032;
апрель 2022;27 407;0,0030;
май 2022;28 688;0,0035;
июнь 2022;26 990;0,0033;
июль 2022;25 750;0,0031;
август 2022;24 862;0,0027;
сентябрь 2022;24 544;0,0026;
октябрь 2022;22 969;0,0024;
ноябрь 2022;23 171;0,0024;
декабрь 2022;19 612;0,0021;
январь 2023;19 105;0,0022;
февраль 2023;23 348;0,0025;
март 2023;19 848;0,0023;
апрель 2023;18 945;0,0022;
май 2023;18 806;0,0024;
июнь 2023;19 851;0,0025;
июль 2023;19 624;0,0025;
август 2023;18 014;0,0022;
сентябрь 2023;19 306;0,0022;
октябрь 2023;18 722;0,0022;
ноябрь 2023;18 875;0,0022;
декабрь 2023;17 356;0,0019;
январь 2024;18 376;0,0022;
февраль 2024;20 377;0,0023;
март 2024;17 730;0,0022;
апрель 2024;19 150;0,0024;
май 2024;17 498;0,0024;
июнь 2024;17 246;0,0023;
июль 2024;16 454;0,0022;
август 2024;15 564;0,0020;
сентябрь 2024;16 818;0,0020;
октябрь 2024;17 112;0,0020;
ноябрь 2024;18 338;0,0021;
декабрь 2024;18 753;0,0021;
