Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Саратовская область, все устройства
декабрь 2017;3 131;0,0031;
январь 2018;3 456;0,0034;
февраль 2018;3 659;0,0034;
март 2018;2 945;0,0030;
апрель 2018;3 109;0,0033;
май 2018;5 216;0,0058;
июнь 2018;4 398;0,0049;
июль 2018;3 584;0,0040;
август 2018;3 198;0,0030;
сентябрь 2018;3 770;0,0032;
октябрь 2018;3 678;0,0033;
ноябрь 2018;4 763;0,0043;
декабрь 2018;3 954;0,0035;
январь 2019;3 739;0,0033;
февраль 2019;3 623;0,0031;
март 2019;3 067;0,0029;
апрель 2019;2 899;0,0029;
май 2019;2 851;0,0031;
июнь 2019;3 042;0,0033;
июль 2019;2 902;0,0031;
август 2019;2 703;0,0026;
сентябрь 2019;2 930;0,0025;
октябрь 2019;3 064;0,0026;
ноябрь 2019;3 571;0,0030;
декабрь 2019;3 602;0,0029;
январь 2020;3 662;0,0030;
февраль 2020;3 685;0,0028;
март 2020;3 908;0,0024;
апрель 2020;4 017;0,0028;
май 2020;3 800;0,0033;
июнь 2020;3 230;0,0031;
июль 2020;3 400;0,0032;
август 2020;3 129;0,0025;
сентябрь 2020;3 402;0,0024;
октябрь 2020;3 792;0,0024;
ноябрь 2020;4 249;0,0028;
декабрь 2020;3 804;0,0025;
январь 2021;3 788;0,0026;
февраль 2021;4 075;0,0025;
март 2021;3 891;0,0026;
апрель 2021;3 314;0,0024;
май 2021;3 605;0,0026;
июнь 2021;3 669;0,0028;
июль 2021;3 771;0,0028;
август 2021;3 590;0,0024;
сентябрь 2021;3 876;0,0024;
октябрь 2021;3 808;0,0023;
ноябрь 2021;4 111;0,0025;
декабрь 2021;3 668;0,0022;
январь 2022;3 654;0,0023;
февраль 2022;5 496;0,0031;
март 2022;4 244;0,0026;
апрель 2022;3 808;0,0024;
май 2022;3 944;0,0028;
июнь 2022;3 650;0,0026;
июль 2022;3 834;0,0028;
август 2022;3 754;0,0024;
сентябрь 2022;3 579;0,0021;
октябрь 2022;3 659;0,0021;
ноябрь 2022;3 970;0,0023;
декабрь 2022;3 384;0,0019;
январь 2023;3 410;0,0022;
февраль 2023;3 803;0,0022;
март 2023;3 175;0,0020;
апрель 2023;3 246;0,0021;
май 2023;3 096;0,0022;
июнь 2023;3 242;0,0023;
июль 2023;3 115;0,0023;
август 2023;2 979;0,0020;
сентябрь 2023;3 239;0,0019;
октябрь 2023;3 380;0,0020;
ноябрь 2023;3 328;0,0020;
декабрь 2023;2 907;0,0017;
январь 2024;3 063;0,0020;
февраль 2024;3 013;0,0019;
март 2024;2 786;0,0019;
апрель 2024;3 052;0,0021;
май 2024;2 762;0,0022;
июнь 2024;2 968;0,0024;
июль 2024;2 835;0,0023;
август 2024;2 487;0,0018;
сентябрь 2024;2 803;0,0018;
октябрь 2024;2 949;0,0018;
ноябрь 2024;3 287;0,0020;
декабрь 2024;3 149;0,0019;
