Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Алтайский край, все устройства
декабрь 2017;2 546;0,0030;
январь 2018;2 452;0,0030;
февраль 2018;2 720;0,0031;
март 2018;2 201;0,0027;
апрель 2018;2 261;0,0027;
май 2018;3 217;0,0046;
июнь 2018;2 892;0,0041;
июль 2018;2 588;0,0035;
август 2018;2 204;0,0026;
сентябрь 2018;2 638;0,0027;
октябрь 2018;2 866;0,0031;
ноябрь 2018;3 455;0,0038;
декабрь 2018;2 675;0,0030;
январь 2019;2 529;0,0028;
февраль 2019;2 395;0,0026;
март 2019;2 427;0,0027;
апрель 2019;2 168;0,0026;
май 2019;2 090;0,0028;
июнь 2019;2 230;0,0031;
июль 2019;1 947;0,0027;
август 2019;1 866;0,0023;
сентябрь 2019;2 193;0,0024;
октябрь 2019;2 286;0,0024;
ноябрь 2019;2 621;0,0026;
декабрь 2019;2 650;0,0026;
январь 2020;2 364;0,0024;
февраль 2020;2 722;0,0025;
март 2020;3 228;0,0025;
апрель 2020;2 956;0,0025;
май 2020;3 019;0,0031;
июнь 2020;2 731;0,0030;
июль 2020;2 588;0,0029;
август 2020;2 641;0,0025;
сентябрь 2020;2 925;0,0024;
октябрь 2020;2 876;0,0023;
ноябрь 2020;3 173;0,0026;
декабрь 2020;2 759;0,0023;
январь 2021;2 551;0,0022;
февраль 2021;2 812;0,0023;
март 2021;2 858;0,0024;
апрель 2021;2 430;0,0021;
май 2021;2 692;0,0024;
июнь 2021;2 905;0,0027;
июль 2021;3 117;0,0029;
август 2021;2 559;0,0022;
сентябрь 2021;2 727;0,0021;
октябрь 2021;2 833;0,0021;
ноябрь 2021;3 089;0,0022;
декабрь 2021;2 662;0,0019;
январь 2022;3 004;0,0022;
февраль 2022;3 886;0,0026;
март 2022;2 886;0,0021;
апрель 2022;2 716;0,0021;
май 2022;3 064;0,0025;
июнь 2022;2 721;0,0023;
июль 2022;2 788;0,0024;
август 2022;2 714;0,0021;
сентябрь 2022;2 657;0,0018;
октябрь 2022;2 897;0,0019;
ноябрь 2022;2 845;0,0019;
декабрь 2022;2 510;0,0017;
январь 2023;2 526;0,0018;
февраль 2023;3 023;0,0020;
март 2023;2 740;0,0019;
апрель 2023;2 500;0,0019;
май 2023;2 468;0,0021;
июнь 2023;2 533;0,0022;
июль 2023;2 647;0,0022;
август 2023;2 298;0,0018;
сентябрь 2023;2 495;0,0018;
октябрь 2023;2 488;0,0018;
ноябрь 2023;2 818;0,0020;
декабрь 2023;2 452;0,0017;
январь 2024;2 257;0,0017;
февраль 2024;2 679;0,0020;
март 2024;2 416;0,0019;
апрель 2024;2 531;0,0020;
май 2024;2 166;0,0020;
июнь 2024;2 122;0,0020;
июль 2024;2 106;0,0020;
август 2024;1 908;0,0016;
сентябрь 2024;2 142;0,0016;
октябрь 2024;2 359;0,0017;
ноябрь 2024;2 469;0,0018;
декабрь 2024;2 490;0,0018;
