Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Тыва, все устройства
декабрь 2017;177;0,0034;
январь 2018;215;0,0044;
февраль 2018;180;0,0032;
март 2018;157;0,0032;
апрель 2018;166;0,0035;
май 2018;194;0,0047;
июнь 2018;188;0,0045;
июль 2018;177;0,0043;
август 2018;188;0,0039;
сентябрь 2018;200;0,0035;
октябрь 2018;213;0,0038;
ноябрь 2018;187;0,0032;
декабрь 2018;213;0,0037;
январь 2019;195;0,0034;
февраль 2019;169;0,0028;
март 2019;178;0,0030;
апрель 2019;183;0,0033;
май 2019;186;0,0039;
июнь 2019;205;0,0044;
июль 2019;223;0,0048;
август 2019;131;0,0024;
сентябрь 2019;198;0,0031;
октябрь 2019;233;0,0035;
ноябрь 2019;216;0,0029;
декабрь 2019;211;0,0028;
январь 2020;218;0,0031;
февраль 2020;254;0,0032;
март 2020;240;0,0022;
апрель 2020;308;0,0031;
май 2020;277;0,0033;
июнь 2020;283;0,0040;
июль 2020;194;0,0028;
август 2020;188;0,0023;
сентябрь 2020;232;0,0024;
октябрь 2020;227;0,0021;
ноябрь 2020;300;0,0028;
декабрь 2020;236;0,0024;
январь 2021;210;0,0024;
февраль 2021;252;0,0027;
март 2021;272;0,0027;
апрель 2021;244;0,0025;
май 2021;228;0,0026;
июнь 2021;268;0,0033;
июль 2021;271;0,0033;
август 2021;261;0,0028;
сентябрь 2021;300;0,0028;
октябрь 2021;321;0,0027;
ноябрь 2021;340;0,0027;
декабрь 2021;330;0,0028;
январь 2022;299;0,0024;
февраль 2022;323;0,0025;
март 2022;289;0,0024;
апрель 2022;322;0,0028;
май 2022;272;0,0028;
июнь 2022;262;0,0029;
июль 2022;261;0,0029;
август 2022;313;0,0028;
сентябрь 2022;262;0,0021;
октябрь 2022;286;0,0021;
ноябрь 2022;290;0,0020;
декабрь 2022;233;0,0017;
январь 2023;254;0,0022;
февраль 2023;294;0,0022;
март 2023;326;0,0025;
апрель 2023;297;0,0023;
май 2023;250;0,0025;
июнь 2023;319;0,0033;
июль 2023;295;0,0031;
август 2023;241;0,0021;
сентябрь 2023;277;0,0021;
октябрь 2023;270;0,0020;
ноябрь 2023;265;0,0018;
декабрь 2023;277;0,0020;
январь 2024;290;0,0023;
февраль 2024;313;0,0024;
март 2024;270;0,0021;
апрель 2024;212;0,0018;
май 2024;195;0,0021;
июнь 2024;232;0,0026;
июль 2024;221;0,0025;
август 2024;192;0,0018;
сентябрь 2024;242;0,0019;
октябрь 2024;259;0,0019;
ноябрь 2024;258;0,0018;
декабрь 2024;282;0,0020;
