Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Карачаево-Черкесская Республика, все устройства
декабрь 2017;226;0,0027;
январь 2018;215;0,0027;
февраль 2018;235;0,0027;
март 2018;191;0,0025;
апрель 2018;232;0,0030;
май 2018;290;0,0040;
июнь 2018;362;0,0048;
июль 2018;299;0,0041;
август 2018;232;0,0030;
сентябрь 2018;286;0,0033;
октябрь 2018;270;0,0033;
ноябрь 2018;248;0,0044;
декабрь 2018;194;0,0032;
январь 2019;175;0,0029;
февраль 2019;182;0,0027;
март 2019;166;0,0026;
апрель 2019;175;0,0030;
май 2019;157;0,0028;
июнь 2019;187;0,0032;
июль 2019;158;0,0029;
август 2019;169;0,0030;
сентябрь 2019;189;0,0026;
октябрь 2019;229;0,0031;
ноябрь 2019;172;0,0023;
декабрь 2019;231;0,0029;
январь 2020;194;0,0026;
февраль 2020;193;0,0023;
март 2020;181;0,0018;
апрель 2020;255;0,0028;
май 2020;253;0,0031;
июнь 2020;226;0,0031;
июль 2020;203;0,0029;
август 2020;190;0,0025;
сентябрь 2020;190;0,0021;
октябрь 2020;179;0,0018;
ноябрь 2020;181;0,0018;
декабрь 2020;233;0,0027;
январь 2021;165;0,0020;
февраль 2021;178;0,0020;
март 2021;256;0,0026;
апрель 2021;245;0,0022;
май 2021;237;0,0022;
июнь 2021;210;0,0025;
июль 2021;198;0,0023;
август 2021;209;0,0020;
сентябрь 2021;265;0,0022;
октябрь 2021;283;0,0023;
ноябрь 2021;278;0,0021;
декабрь 2021;316;0,0023;
январь 2022;263;0,0019;
февраль 2022;382;0,0026;
март 2022;413;0,0031;
апрель 2022;386;0,0029;
май 2022;374;0,0031;
июнь 2022;270;0,0023;
июль 2022;287;0,0024;
август 2022;225;0,0018;
сентябрь 2022;255;0,0018;
октябрь 2022;252;0,0018;
ноябрь 2022;332;0,0021;
декабрь 2022;241;0,0016;
январь 2023;249;0,0017;
февраль 2023;268;0,0018;
март 2023;327;0,0023;
апрель 2023;282;0,0021;
май 2023;292;0,0024;
июнь 2023;312;0,0026;
июль 2023;272;0,0022;
август 2023;282;0,0022;
сентябрь 2023;297;0,0021;
октябрь 2023;347;0,0024;
ноябрь 2023;283;0,0019;
декабрь 2023;241;0,0016;
январь 2024;261;0,0018;
февраль 2024;250;0,0018;
март 2024;254;0,0020;
апрель 2024;269;0,0020;
май 2024;301;0,0027;
июнь 2024;236;0,0020;
июль 2024;258;0,0023;
август 2024;184;0,0015;
сентябрь 2024;262;0,0019;
октябрь 2024;226;0,0016;
ноябрь 2024;267;0,0018;
декабрь 2024;248;0,0016;
