Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Ставропольский край, все устройства
декабрь 2017;2 758;0,0031;
январь 2018;2 834;0,0032;
февраль 2018;3 053;0,0032;
март 2018;2 495;0,0030;
апрель 2018;2 589;0,0030;
май 2018;4 442;0,0056;
июнь 2018;3 914;0,0047;
июль 2018;3 259;0,0039;
август 2018;2 843;0,0031;
сентябрь 2018;3 441;0,0034;
октябрь 2018;3 274;0,0034;
ноябрь 2018;4 157;0,0042;
декабрь 2018;3 540;0,0034;
январь 2019;3 142;0,0032;
февраль 2019;3 200;0,0031;
март 2019;2 872;0,0029;
апрель 2019;2 838;0,0030;
май 2019;2 784;0,0032;
июнь 2019;2 888;0,0032;
июль 2019;2 767;0,0032;
август 2019;2 553;0,0027;
сентябрь 2019;2 731;0,0027;
октябрь 2019;2 904;0,0027;
ноябрь 2019;3 395;0,0031;
декабрь 2019;3 321;0,0029;
январь 2020;3 076;0,0028;
февраль 2020;3 288;0,0027;
март 2020;3 637;0,0024;
апрель 2020;3 840;0,0026;
май 2020;3 933;0,0034;
июнь 2020;3 455;0,0032;
июль 2020;3 394;0,0032;
август 2020;3 191;0,0027;
сентябрь 2020;3 253;0,0024;
октябрь 2020;3 465;0,0025;
ноябрь 2020;3 701;0,0026;
декабрь 2020;3 503;0,0027;
январь 2021;2 931;0,0024;
февраль 2021;3 633;0,0027;
март 2021;3 283;0,0025;
апрель 2021;2 913;0,0023;
май 2021;3 173;0,0025;
июнь 2021;3 418;0,0028;
июль 2021;3 313;0,0026;
август 2021;3 110;0,0024;
сентябрь 2021;3 169;0,0023;
октябрь 2021;3 216;0,0022;
ноябрь 2021;3 596;0,0025;
декабрь 2021;3 228;0,0022;
январь 2022;3 379;0,0024;
февраль 2022;4 717;0,0030;
март 2022;3 511;0,0024;
апрель 2022;3 536;0,0024;
май 2022;3 551;0,0026;
июнь 2022;3 466;0,0025;
июль 2022;3 669;0,0027;
август 2022;3 415;0,0023;
сентябрь 2022;3 327;0,0021;
октябрь 2022;3 313;0,0020;
ноябрь 2022;3 481;0,0021;
декабрь 2022;3 204;0,0020;
январь 2023;3 020;0,0020;
февраль 2023;3 362;0,0021;
март 2023;3 233;0,0021;
апрель 2023;3 145;0,0021;
май 2023;3 130;0,0023;
июнь 2023;3 254;0,0024;
июль 2023;3 363;0,0025;
август 2023;3 088;0,0022;
сентябрь 2023;3 175;0,0021;
октябрь 2023;3 314;0,0022;
ноябрь 2023;3 212;0,0021;
декабрь 2023;2 973;0,0019;
январь 2024;2 891;0,0020;
февраль 2024;3 090;0,0021;
март 2024;2 824;0,0021;
апрель 2024;3 021;0,0022;
май 2024;2 888;0,0024;
июнь 2024;2 778;0,0022;
июль 2024;2 882;0,0023;
август 2024;2 607;0,0020;
сентябрь 2024;2 664;0,0018;
октябрь 2024;2 668;0,0018;
ноябрь 2024;2 958;0,0019;
декабрь 2024;3 022;0,0019;
