Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Свердловская область, все устройства
декабрь 2017;7 957;0,0030;
январь 2018;8 365;0,0031;
февраль 2018;9 305;0,0032;
март 2018;8 150;0,0030;
апрель 2018;7 695;0,0030;
май 2018;10 631;0,0046;
июнь 2018;9 984;0,0044;
июль 2018;8 488;0,0036;
август 2018;8 085;0,0030;
сентябрь 2018;10 482;0,0031;
октябрь 2018;10 377;0,0034;
ноябрь 2018;12 382;0,0039;
декабрь 2018;10 773;0,0033;
январь 2019;9 406;0,0030;
февраль 2019;9 830;0,0030;
март 2019;9 247;0,0029;
апрель 2019;8 862;0,0029;
май 2019;8 526;0,0031;
июнь 2019;8 372;0,0031;
июль 2019;8 127;0,0030;
август 2019;7 937;0,0027;
сентябрь 2019;8 266;0,0026;
октябрь 2019;8 254;0,0025;
ноябрь 2019;9 801;0,0029;
декабрь 2019;9 187;0,0027;
январь 2020;8 667;0,0026;
февраль 2020;9 149;0,0026;
март 2020;9 913;0,0023;
апрель 2020;9 836;0,0027;
май 2020;9 789;0,0032;
июнь 2020;8 826;0,0031;
июль 2020;8 454;0,0028;
август 2020;8 639;0,0024;
сентябрь 2020;9 127;0,0022;
октябрь 2020;9 969;0,0022;
ноябрь 2020;10 311;0,0024;
декабрь 2020;8 369;0,0022;
январь 2021;7 942;0,0022;
февраль 2021;8 789;0,0024;
март 2021;8 242;0,0023;
апрель 2021;7 102;0,0022;
май 2021;8 132;0,0026;
июнь 2021;8 978;0,0028;
июль 2021;9 236;0,0028;
август 2021;7 837;0,0023;
сентябрь 2021;7 839;0,0021;
октябрь 2021;8 251;0,0021;
ноябрь 2021;8 790;0,0023;
декабрь 2021;7 278;0,0020;
январь 2022;7 750;0,0021;
февраль 2022;10 909;0,0028;
март 2022;8 317;0,0022;
апрель 2022;7 779;0,0021;
май 2022;8 330;0,0025;
июнь 2022;7 746;0,0024;
июль 2022;7 959;0,0024;
август 2022;7 635;0,0021;
сентябрь 2022;8 166;0,0021;
октябрь 2022;7 929;0,0020;
ноябрь 2022;7 746;0,0019;
декабрь 2022;6 750;0,0017;
январь 2023;6 954;0,0019;
февраль 2023;7 584;0,0019;
март 2023;7 314;0,0020;
апрель 2023;6 354;0,0018;
май 2023;6 344;0,0019;
июнь 2023;6 605;0,0021;
июль 2023;6 679;0,0021;
август 2023;6 415;0,0019;
сентябрь 2023;6 787;0,0018;
октябрь 2023;7 125;0,0019;
ноябрь 2023;6 889;0,0018;
декабрь 2023;6 364;0,0017;
январь 2024;6 323;0,0018;
февраль 2024;6 739;0,0018;
март 2024;6 230;0,0017;
апрель 2024;6 938;0,0020;
май 2024;6 051;0,0020;
июнь 2024;5 817;0,0020;
июль 2024;5 712;0,0019;
август 2024;5 534;0,0017;
сентябрь 2024;6 185;0,0016;
октябрь 2024;6 092;0,0016;
ноябрь 2024;6 775;0,0017;
декабрь 2024;6 695;0,0018;
