Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Ямало-Ненецкий автономный округ, все устройства
декабрь 2017;749;0,0033;
январь 2018;780;0,0035;
февраль 2018;850;0,0035;
март 2018;776;0,0034;
апрель 2018;836;0,0037;
май 2018;1 129;0,0067;
июнь 2018;1 092;0,0071;
июль 2018;794;0,0050;
август 2018;875;0,0040;
сентябрь 2018;1 027;0,0039;
октябрь 2018;910;0,0036;
ноябрь 2018;1 134;0,0046;
декабрь 2018;827;0,0033;
январь 2019;838;0,0033;
февраль 2019;806;0,0031;
март 2019;807;0,0031;
апрель 2019;833;0,0035;
май 2019;667;0,0037;
июнь 2019;660;0,0041;
июль 2019;640;0,0038;
август 2019;617;0,0028;
сентябрь 2019;744;0,0027;
октябрь 2019;753;0,0027;
ноябрь 2019;971;0,0034;
декабрь 2019;875;0,0030;
январь 2020;882;0,0029;
февраль 2020;1 124;0,0036;
март 2020;1 254;0,0032;
апрель 2020;1 431;0,0039;
май 2020;1 008;0,0038;
июнь 2020;919;0,0041;
июль 2020;822;0,0038;
август 2020;889;0,0032;
сентябрь 2020;1 017;0,0030;
октябрь 2020;1 037;0,0027;
ноябрь 2020;1 084;0,0030;
декабрь 2020;839;0,0025;
январь 2021;890;0,0027;
февраль 2021;920;0,0027;
март 2021;980;0,0027;
апрель 2021;900;0,0026;
май 2021;914;0,0032;
июнь 2021;861;0,0035;
июль 2021;903;0,0037;
август 2021;878;0,0026;
сентябрь 2021;983;0,0026;
октябрь 2021;902;0,0023;
ноябрь 2021;1 000;0,0024;
декабрь 2021;889;0,0022;
январь 2022;1 088;0,0026;
февраль 2022;1 844;0,0043;
март 2022;1 531;0,0037;
апрель 2022;1 281;0,0033;
май 2022;1 324;0,0042;
июнь 2022;977;0,0035;
июль 2022;925;0,0032;
август 2022;865;0,0023;
сентябрь 2022;927;0,0022;
октябрь 2022;1 039;0,0024;
ноябрь 2022;1 206;0,0027;
декабрь 2022;972;0,0022;
январь 2023;906;0,0022;
февраль 2023;1 329;0,0030;
март 2023;947;0,0022;
апрель 2023;872;0,0022;
май 2023;861;0,0028;
июнь 2023;747;0,0027;
июль 2023;806;0,0029;
август 2023;794;0,0022;
сентябрь 2023;858;0,0021;
октябрь 2023;734;0,0018;
ноябрь 2023;823;0,0019;
декабрь 2023;815;0,0020;
январь 2024;783;0,0019;
февраль 2024;898;0,0022;
март 2024;774;0,0019;
апрель 2024;870;0,0024;
май 2024;664;0,0023;
июнь 2024;615;0,0024;
июль 2024;533;0,0021;
август 2024;695;0,0022;
сентябрь 2024;831;0,0022;
октябрь 2024;855;0,0021;
ноябрь 2024;784;0,0019;
декабрь 2024;751;0,0019;
