Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Тульская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;1;0,00000170;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;1;0,00000140;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;1;0,00000102;
апрель 2021;0;0;
май 2021;1;0,00000107;
июнь 2021;1;0,00000112;
июль 2021;1;0,00000108;
август 2021;0;0;
сентябрь 2021;5;0,00000481;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;2;0,00000168;
март 2022;4;0,00000351;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;1;0,00000100;
июль 2022;3;0,00000298;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;1;0,00000086;
декабрь 2022;0;0;
январь 2023;0;0;
февраль 2023;1;0,00000085;
март 2023;0;0;
апрель 2023;0;0;
май 2023;1;0,00000102;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;2;0,00000199;
сентябрь 2023;0;0;
октябрь 2023;2;0,00000183;
ноябрь 2023;2;0,00000185;
декабрь 2023;0;0;
январь 2024;1;0,00000095;
февраль 2024;2;0,00000185;
март 2024;1;0,00000098;
апрель 2024;2;0,00000201;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;2;0,00000221;
август 2024;1;0,00000106;
сентябрь 2024;1;0,00000094;
октябрь 2024;4;0,00000373;
ноябрь 2024;4;0,00000363;
декабрь 2024;2;0,00000180;
