Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Самарская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;1;0,00000055;
май 2018;12;0,00000713;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;3;0,00000139;
декабрь 2018;0;0;
январь 2019;3;0,00000140;
февраль 2019;1;0,00000045;
март 2019;0;0;
апрель 2019;0;0;
май 2019;1;0,00000054;
июнь 2019;3;0,00000162;
июль 2019;2;0,00000105;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;1;0,00000047;
декабрь 2019;0;0;
январь 2020;2;0,00000097;
февраль 2020;1;0,00000043;
март 2020;0;0;
апрель 2020;0;0;
май 2020;4;0,00000215;
июнь 2020;0;0;
июль 2020;3;0,00000182;
август 2020;3;0,00000165;
сентябрь 2020;0;0;
октябрь 2020;2;0,00000089;
ноябрь 2020;2;0,00000089;
декабрь 2020;0;0;
январь 2021;1;0,00000052;
февраль 2021;2;0,00000093;
март 2021;1;0,00000047;
апрель 2021;0;0;
май 2021;3;0,00000152;
июнь 2021;2;0,00000104;
июль 2021;1;0,00000051;
август 2021;1;0,00000047;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;1;0,00000042;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;9;0,00000352;
март 2022;2;0,00000085;
апрель 2022;6;0,00000257;
май 2022;0;0;
июнь 2022;2;0,00000099;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;3;0,00000122;
октябрь 2022;7;0,00000281;
ноябрь 2022;1;0,00000039;
декабрь 2022;0;0;
январь 2023;1;0,00000044;
февраль 2023;1;0,00000040;
март 2023;0;0;
апрель 2023;4;0,00000177;
май 2023;2;0,00000097;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;3;0,00000125;
октябрь 2023;3;0,00000127;
ноябрь 2023;0;0;
декабрь 2023;1;0,00000041;
январь 2024;1;0,00000044;
февраль 2024;4;0,00000172;
март 2024;3;0,00000140;
апрель 2024;2;0,00000094;
май 2024;4;0,00000217;
июнь 2024;7;0,00000383;
июль 2024;1;0,00000054;
август 2024;2;0,00000104;
сентябрь 2024;2;0,00000089;
октябрь 2024;7;0,00000299;
ноябрь 2024;5;0,00000207;
декабрь 2024;6;0,00000250;
