Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Томская область, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;0;0;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;0;0;
октябрь 2018;0;0;
ноябрь 2018;0;0;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;1;0,0000025;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;4;0,0000071;
апрель 2021;0;0;
май 2021;1;0,0000019;
июнь 2021;3;0,0000065;
июль 2021;0;0;
август 2021;2;0,0000037;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;0;0;
март 2022;0;0;
апрель 2022;0;0;
май 2022;0;0;
июнь 2022;1;0,0000019;
июль 2022;2;0,0000038;
август 2022;1;0,0000016;
сентябрь 2022;1;0,0000015;
октябрь 2022;0;0;
ноябрь 2022;3;0,0000043;
декабрь 2022;0;0;
январь 2023;3;0,0000048;
февраль 2023;1;0,0000014;
март 2023;5;0,0000074;
апрель 2023;5;0,0000080;
май 2023;2;0,0000036;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;1;0,0000017;
сентябрь 2023;0;0;
октябрь 2023;1;0,0000015;
ноябрь 2023;7;0,0000106;
декабрь 2023;16;0,0000255;
январь 2024;1;0,0000016;
февраль 2024;1;0,0000016;
март 2024;2;0,0000033;
апрель 2024;4;0,0000069;
май 2024;1;0,0000020;
июнь 2024;1;0,0000021;
июль 2024;4;0,0000086;
август 2024;1;0,0000019;
сентябрь 2024;8;0,0000131;
октябрь 2024;2;0,0000032;
ноябрь 2024;1;0,0000015;
декабрь 2024;0;0;
