Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег в Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Воронежская область, все устройства
декабрь 2017;5;0,00000451;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;2;0,00000192;
апрель 2018;0;0;
май 2018;0;0;
июнь 2018;2;0,00000207;
июль 2018;2;0,00000205;
август 2018;0;0;
сентябрь 2018;1;0,00000077;
октябрь 2018;0;0;
ноябрь 2018;1;0,00000084;
декабрь 2018;2;0,00000166;
январь 2019;0;0;
февраль 2019;1;0,00000081;
март 2019;0;0;
апрель 2019;0;0;
май 2019;0;0;
июнь 2019;1;0,00000100;
июль 2019;4;0,00000404;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;1;0,00000076;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;0;0;
май 2020;0;0;
июнь 2020;1;0,00000083;
июль 2020;0;0;
август 2020;1;0,00000074;
сентябрь 2020;0;0;
октябрь 2020;0;0;
ноябрь 2020;1;0,00000062;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;1;0,00000061;
март 2021;3;0,00000192;
апрель 2021;0;0;
май 2021;0;0;
июнь 2021;0;0;
июль 2021;0;0;
август 2021;3;0,00000188;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;5;0,00000272;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;3;0,00000151;
март 2022;2;0,00000110;
апрель 2022;3;0,00000166;
май 2022;1;0,00000062;
июнь 2022;3;0,00000188;
июль 2022;2;0,00000124;
август 2022;0;0;
сентябрь 2022;1;0,00000051;
октябрь 2022;2;0,00000103;
ноябрь 2022;0;0;
декабрь 2022;1;0,00000052;
январь 2023;2;0,00000112;
февраль 2023;22;0,00001134;
март 2023;4;0,00000221;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;2;0,00000126;
июль 2023;1;0,00000065;
август 2023;0;0;
сентябрь 2023;3;0,00000160;
октябрь 2023;0;0;
ноябрь 2023;3;0,00000163;
декабрь 2023;1;0,00000054;
январь 2024;2;0,00000114;
февраль 2024;0;0;
март 2024;2;0,00000121;
апрель 2024;0;0;
май 2024;1;0,00000069;
июнь 2024;4;0,00000282;
июль 2024;3;0,00000210;
август 2024;4;0,00000257;
сентябрь 2024;9;0,00000515;
октябрь 2024;3;0,00000166;
ноябрь 2024;3;0,00000160;
декабрь 2024;6;0,00000328;
