Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Смоленская область, все устройства
декабрь 2017;742;0,0019;
январь 2018;674;0,0017;
февраль 2018;656;0,0016;
март 2018;603;0,0016;
апрель 2018;522;0,0014;
май 2018;431;0,0012;
июнь 2018;450;0,0012;
июль 2018;622;0,0018;
август 2018;610;0,0015;
сентябрь 2018;893;0,0020;
октябрь 2018;729;0,0018;
ноябрь 2018;603;0,0015;
декабрь 2018;724;0,0017;
январь 2019;777;0,0019;
февраль 2019;780;0,0018;
март 2019;618;0,0016;
апрель 2019;637;0,0017;
май 2019;573;0,0016;
июнь 2019;602;0,0017;
июль 2019;511;0,0014;
август 2019;640;0,0017;
сентябрь 2019;763;0,0018;
октябрь 2019;877;0,0021;
ноябрь 2019;604;0,0014;
декабрь 2019;811;0,0018;
январь 2020;709;0,0016;
февраль 2020;685;0,0014;
март 2020;1 461;0,0023;
апрель 2020;1 338;0,0024;
май 2020;1 005;0,0023;
июнь 2020;895;0,0021;
июль 2020;676;0,0016;
август 2020;641;0,0014;
сентябрь 2020;979;0,0019;
октябрь 2020;938;0,0018;
ноябрь 2020;844;0,0017;
декабрь 2020;965;0,0019;
январь 2021;1 098;0,0023;
февраль 2021;1 154;0,0021;
март 2021;1 002;0,0018;
апрель 2021;984;0,0017;
май 2021;1 004;0,0019;
июнь 2021;746;0,0015;
июль 2021;697;0,0014;
август 2021;840;0,0015;
сентябрь 2021;913;0,0015;
октябрь 2021;985;0,0016;
ноябрь 2021;902;0,0014;
декабрь 2021;1 293;0,0020;
январь 2022;1 145;0,0018;
февраль 2022;1 098;0,0016;
март 2022;1 326;0,0020;
апрель 2022;1 156;0,0018;
май 2022;914;0,0016;
июнь 2022;1 023;0,0018;
июль 2022;1 235;0,0022;
август 2022;838;0,0013;
сентябрь 2022;1 014;0,0015;
октябрь 2022;1 065;0,0016;
ноябрь 2022;870;0,0013;
декабрь 2022;974;0,0014;
январь 2023;1 089;0,0017;
февраль 2023;948;0,0014;
март 2023;970;0,0015;
апрель 2023;908;0,0015;
май 2023;811;0,0014;
июнь 2023;834;0,0015;
июль 2023;874;0,0016;
август 2023;799;0,0014;
сентябрь 2023;1 080;0,0017;
октябрь 2023;873;0,0014;
ноябрь 2023;1 013;0,0016;
декабрь 2023;1 018;0,0016;
январь 2024;994;0,0016;
февраль 2024;957;0,0015;
март 2024;878;0,0015;
апрель 2024;769;0,0014;
май 2024;841;0,0017;
июнь 2024;724;0,0014;
июль 2024;540;0,0011;
август 2024;729;0,0014;
сентябрь 2024;972;0,0016;
октябрь 2024;1 056;0,0017;
ноябрь 2024;886;0,0014;
декабрь 2024;1 025;0,0016;
