Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;15 574;0,0033;
январь 2018;15 826;0,0032;
февраль 2018;16 083;0,0031;
март 2018;14 251;0,0030;
апрель 2018;12 164;0,0026;
май 2018;11 894;0,0027;
июнь 2018;12 504;0,0029;
июль 2018;14 142;0,0032;
август 2018;16 690;0,0033;
сентябрь 2018;18 980;0,0033;
октябрь 2018;15 631;0,0030;
ноябрь 2018;12 082;0,0023;
декабрь 2018;15 735;0,0030;
январь 2019;15 391;0,0030;
февраль 2019;15 308;0,0028;
март 2019;13 681;0,0027;
апрель 2019;12 635;0,0025;
май 2019;11 927;0,0027;
июнь 2019;12 313;0,0027;
июль 2019;12 285;0,0028;
август 2019;14 379;0,0029;
сентябрь 2019;17 466;0,0031;
октябрь 2019;14 977;0,0027;
ноябрь 2019;14 272;0,0025;
декабрь 2019;17 926;0,0032;
январь 2020;17 666;0,0031;
февраль 2020;16 475;0,0028;
март 2020;20 837;0,0032;
апрель 2020;17 237;0,0029;
май 2020;16 186;0,0031;
июнь 2020;15 459;0,0030;
июль 2020;13 243;0,0026;
август 2020;16 833;0,0029;
сентябрь 2020;18 902;0,0029;
октябрь 2020;20 865;0,0031;
ноябрь 2020;18 247;0,0028;
декабрь 2020;20 861;0,0033;
январь 2021;23 017;0,0038;
февраль 2021;22 415;0,0033;
март 2021;23 792;0,0036;
апрель 2021;19 620;0,0034;
май 2021;18 622;0,0033;
июнь 2021;14 584;0,0024;
июль 2021;15 150;0,0024;
август 2021;17 157;0,0027;
сентябрь 2021;18 169;0,0029;
октябрь 2021;19 222;0,0030;
ноябрь 2021;17 522;0,0027;
декабрь 2021;17 307;0,0025;
январь 2022;22 304;0,0032;
февраль 2022;25 916;0,0035;
март 2022;21 142;0,0031;
апрель 2022;18 208;0,0025;
май 2022;15 891;0,0025;
июнь 2022;14 414;0,0025;
июль 2022;15 661;0,0026;
август 2022;15 879;0,0026;
сентябрь 2022;15 682;0,0024;
октябрь 2022;15 225;0,0022;
ноябрь 2022;12 101;0,0018;
декабрь 2022;12 385;0,0020;
январь 2023;11 143;0,0019;
февраль 2023;12 397;0,0019;
март 2023;10 636;0,0017;
апрель 2023;11 211;0,0019;
май 2023;8 984;0,0017;
июнь 2023;7 978;0,0015;
июль 2023;8 963;0,0018;
август 2023;10 160;0,0018;
сентябрь 2023;12 167;0,0020;
октябрь 2023;12 834;0,0021;
ноябрь 2023;10 237;0,0017;
декабрь 2023;10 870;0,0018;
январь 2024;10 632;0,0018;
февраль 2024;9 832;0,0016;
март 2024;9 983;0,0017;
апрель 2024;10 109;0,0018;
май 2024;8 158;0,0017;
июнь 2024;7 755;0,0016;
июль 2024;7 957;0,0017;
август 2024;9 535;0,0018;
сентябрь 2024;12 578;0,0021;
октябрь 2024;12 573;0,0020;
ноябрь 2024;11 614;0,0018;
декабрь 2024;11 395;0,0019;
