Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Вологодская область, все устройства
декабрь 2017;1 309;0,0024;
январь 2018;1 054;0,0020;
февраль 2018;1 014;0,0018;
март 2018;927;0,0017;
апрель 2018;870;0,0017;
май 2018;797;0,0017;
июнь 2018;698;0,0015;
июль 2018;761;0,0016;
август 2018;1 137;0,0021;
сентябрь 2018;1 391;0,0022;
октябрь 2018;1 167;0,0021;
ноябрь 2018;913;0,0016;
декабрь 2018;1 230;0,0021;
январь 2019;954;0,0017;
февраль 2019;1 075;0,0018;
март 2019;1 177;0,0021;
апрель 2019;898;0,0018;
май 2019;892;0,0019;
июнь 2019;835;0,0018;
июль 2019;785;0,0017;
август 2019;922;0,0018;
сентябрь 2019;1 194;0,0020;
октябрь 2019;1 236;0,0021;
ноябрь 2019;1 096;0,0018;
декабрь 2019;1 400;0,0023;
январь 2020;1 435;0,0024;
февраль 2020;1 299;0,0020;
март 2020;1 569;0,0018;
апрель 2020;1 629;0,0022;
май 2020;1 410;0,0024;
июнь 2020;1 108;0,0020;
июль 2020;984;0,0018;
август 2020;1 083;0,0018;
сентябрь 2020;1 288;0,0019;
октябрь 2020;1 597;0,0022;
ноябрь 2020;1 250;0,0018;
декабрь 2020;1 364;0,0020;
январь 2021;1 656;0,0026;
февраль 2021;1 472;0,0021;
март 2021;1 606;0,0022;
апрель 2021;1 209;0,0016;
май 2021;1 420;0,0021;
июнь 2021;804;0,0013;
июль 2021;908;0,0014;
август 2021;1 195;0,0016;
сентябрь 2021;1 332;0,0016;
октябрь 2021;1 524;0,0018;
ноябрь 2021;1 167;0,0013;
декабрь 2021;1 427;0,0016;
январь 2022;1 526;0,0018;
февраль 2022;1 485;0,0016;
март 2022;1 630;0,0018;
апрель 2022;1 243;0,0014;
май 2022;1 271;0,0017;
июнь 2022;1 088;0,0015;
июль 2022;1 167;0,0016;
август 2022;1 348;0,0016;
сентябрь 2022;1 323;0,0015;
октябрь 2022;1 633;0,0018;
ноябрь 2022;1 246;0,0014;
декабрь 2022;1 353;0,0015;
январь 2023;1 171;0,0014;
февраль 2023;1 426;0,0015;
март 2023;1 200;0,0014;
апрель 2023;1 062;0,0013;
май 2023;981;0,0013;
июнь 2023;873;0,0011;
июль 2023;793;0,0011;
август 2023;1 084;0,0014;
сентябрь 2023;1 532;0,0017;
октябрь 2023;1 182;0,0013;
ноябрь 2023;1 125;0,0013;
декабрь 2023;1 337;0,0015;
январь 2024;1 208;0,0014;
февраль 2024;1 123;0,0013;
март 2024;1 084;0,0013;
апрель 2024;1 187;0,0015;
май 2024;904;0,0013;
июнь 2024;793;0,0012;
июль 2024;692;0,0010;
август 2024;1 051;0,0014;
сентябрь 2024;1 504;0,0018;
октябрь 2024;1 401;0,0016;
ноябрь 2024;1 275;0,0014;
декабрь 2024;1 465;0,0017;
