Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Кировская область, все устройства
декабрь 2017;1 364;0,0027;
январь 2018;1 282;0,0026;
февраль 2018;1 285;0,0024;
март 2018;1 044;0,0020;
апрель 2018;944;0,0018;
май 2018;903;0,0019;
июнь 2018;959;0,0021;
июль 2018;905;0,0020;
август 2018;1 117;0,0020;
сентябрь 2018;1 453;0,0024;
октябрь 2018;1 342;0,0024;
ноябрь 2018;973;0,0017;
декабрь 2018;1 274;0,0023;
январь 2019;1 215;0,0023;
февраль 2019;1 111;0,0020;
март 2019;1 136;0,0021;
апрель 2019;906;0,0018;
май 2019;793;0,0017;
июнь 2019;778;0,0016;
июль 2019;848;0,0017;
август 2019;1 089;0,0020;
сентябрь 2019;1 463;0,0024;
октябрь 2019;1 483;0,0025;
ноябрь 2019;1 103;0,0019;
декабрь 2019;1 433;0,0023;
январь 2020;1 178;0,0020;
февраль 2020;1 297;0,0020;
март 2020;1 668;0,0020;
апрель 2020;2 118;0,0027;
май 2020;1 568;0,0026;
июнь 2020;1 077;0,0020;
июль 2020;831;0,0015;
август 2020;1 286;0,0021;
сентябрь 2020;1 499;0,0021;
октябрь 2020;1 753;0,0024;
ноябрь 2020;1 737;0,0024;
декабрь 2020;2 939;0,0043;
январь 2021;2 578;0,0039;
февраль 2021;1 950;0,0027;
март 2021;1 750;0,0024;
апрель 2021;1 602;0,0022;
май 2021;1 177;0,0017;
июнь 2021;968;0,0015;
июль 2021;952;0,0015;
август 2021;1 411;0,0019;
сентябрь 2021;1 273;0,0016;
октябрь 2021;1 948;0,0024;
ноябрь 2021;1 675;0,0020;
декабрь 2021;1 760;0,0021;
январь 2022;1 806;0,0022;
февраль 2022;1 762;0,0020;
март 2022;1 541;0,0018;
апрель 2022;1 435;0,0017;
май 2022;1 275;0,0017;
июнь 2022;1 047;0,0014;
июль 2022;1 239;0,0016;
август 2022;1 251;0,0015;
сентябрь 2022;1 509;0,0017;
октябрь 2022;1 694;0,0020;
ноябрь 2022;1 506;0,0018;
декабрь 2022;1 564;0,0018;
январь 2023;1 569;0,0020;
февраль 2023;1 644;0,0018;
март 2023;1 260;0,0015;
апрель 2023;1 249;0,0015;
май 2023;1 096;0,0015;
июнь 2023;1 030;0,0014;
июль 2023;1 086;0,0015;
август 2023;944;0,0012;
сентябрь 2023;1 252;0,0015;
октябрь 2023;1 349;0,0016;
ноябрь 2023;1 416;0,0017;
декабрь 2023;1 588;0,0019;
январь 2024;1 288;0,0016;
февраль 2024;1 103;0,0013;
март 2024;1 199;0,0015;
апрель 2024;1 005;0,0013;
май 2024;869;0,0013;
июнь 2024;875;0,0013;
июль 2024;677;0,0010;
август 2024;1 120;0,0016;
сентябрь 2024;1 390;0,0018;
октябрь 2024;1 456;0,0018;
ноябрь 2024;1 352;0,0016;
декабрь 2024;1 597;0,0019;
