Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Мордовия, все устройства
декабрь 2017;721;0,0024;
январь 2018;579;0,0019;
февраль 2018;606;0,0019;
март 2018;556;0,0019;
апрель 2018;545;0,0021;
май 2018;372;0,0015;
июнь 2018;396;0,0016;
июль 2018;454;0,0019;
август 2018;606;0,0021;
сентябрь 2018;919;0,0027;
октябрь 2018;640;0,0021;
ноябрь 2018;503;0,0016;
декабрь 2018;633;0,0020;
январь 2019;520;0,0017;
февраль 2019;566;0,0018;
март 2019;399;0,0014;
апрель 2019;524;0,0019;
май 2019;457;0,0019;
июнь 2019;445;0,0018;
июль 2019;409;0,0017;
август 2019;509;0,0018;
сентябрь 2019;668;0,0021;
октябрь 2019;569;0,0018;
ноябрь 2019;998;0,0029;
декабрь 2019;759;0,0021;
январь 2020;725;0,0020;
февраль 2020;790;0,0022;
март 2020;1 231;0,0025;
апрель 2020;1 049;0,0025;
май 2020;1 065;0,0030;
июнь 2020;634;0,0021;
июль 2020;475;0,0015;
август 2020;677;0,0018;
сентябрь 2020;829;0,0020;
октябрь 2020;1 212;0,0027;
ноябрь 2020;1 447;0,0033;
декабрь 2020;1 230;0,0030;
январь 2021;1 267;0,0032;
февраль 2021;1 275;0,0030;
март 2021;1 410;0,0033;
апрель 2021;1 049;0,0025;
май 2021;1 007;0,0027;
июнь 2021;539;0,0016;
июль 2021;657;0,0019;
август 2021;604;0,0014;
сентябрь 2021;925;0,0020;
октябрь 2021;1 270;0,0027;
ноябрь 2021;1 212;0,0024;
декабрь 2021;954;0,0020;
январь 2022;1 493;0,0032;
февраль 2022;1 192;0,0023;
март 2022;1 317;0,0027;
апрель 2022;1 086;0,0023;
май 2022;872;0,0021;
июнь 2022;555;0,0014;
июль 2022;694;0,0018;
август 2022;877;0,0019;
сентябрь 2022;973;0,0019;
октябрь 2022;939;0,0018;
ноябрь 2022;1 528;0,0030;
декабрь 2022;1 218;0,0024;
январь 2023;903;0,0020;
февраль 2023;1 093;0,0022;
март 2023;730;0,0016;
апрель 2023;897;0,0019;
май 2023;629;0,0015;
июнь 2023;547;0,0014;
июль 2023;489;0,0013;
август 2023;771;0,0018;
сентябрь 2023;1 156;0,0024;
октябрь 2023;1 021;0,0021;
ноябрь 2023;773;0,0016;
декабрь 2023;805;0,0017;
январь 2024;626;0,0014;
февраль 2024;670;0,0014;
март 2024;636;0,0015;
апрель 2024;769;0,0018;
май 2024;652;0,0018;
июнь 2024;438;0,0012;
июль 2024;409;0,0011;
август 2024;618;0,0016;
сентябрь 2024;1 172;0,0027;
октябрь 2024;741;0,0016;
ноябрь 2024;1 144;0,0024;
декабрь 2024;792;0,0017;
