Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Самарская область, все устройства
декабрь 2017;4 461;0,0028;
январь 2018;4 335;0,0025;
февраль 2018;5 130;0,0025;
март 2018;4 676;0,0024;
апрель 2018;4 196;0,0023;
май 2018;3 727;0,0022;
июнь 2018;4 292;0,0024;
июль 2018;4 399;0,0025;
август 2018;4 911;0,0024;
сентябрь 2018;5 663;0,0024;
октябрь 2018;5 368;0,0025;
ноябрь 2018;4 369;0,0020;
декабрь 2018;5 722;0,0026;
январь 2019;5 613;0,0026;
февраль 2019;5 504;0,0024;
март 2019;4 622;0,0022;
апрель 2019;4 123;0,0020;
май 2019;4 185;0,0022;
июнь 2019;4 271;0,0023;
июль 2019;4 126;0,0021;
август 2019;4 705;0,0023;
сентябрь 2019;5 372;0,0025;
октябрь 2019;5 046;0,0023;
ноябрь 2019;4 275;0,0020;
декабрь 2019;5 595;0,0026;
январь 2020;5 139;0,0025;
февраль 2020;5 017;0,0021;
март 2020;7 780;0,0026;
апрель 2020;6 622;0,0026;
май 2020;4 995;0,0026;
июнь 2020;3 981;0,0024;
июль 2020;3 841;0,0023;
август 2020;4 030;0,0022;
сентябрь 2020;4 633;0,0022;
октябрь 2020;6 156;0,0027;
ноябрь 2020;6 063;0,0027;
декабрь 2020;7 041;0,0035;
январь 2021;6 766;0,0035;
февраль 2021;5 890;0,0027;
март 2021;5 542;0,0026;
апрель 2021;4 644;0,0023;
май 2021;5 147;0,0026;
июнь 2021;4 149;0,0021;
июль 2021;4 194;0,0021;
август 2021;4 712;0,0022;
сентябрь 2021;5 727;0,0024;
октябрь 2021;5 980;0,0025;
ноябрь 2021;5 413;0,0023;
декабрь 2021;5 214;0,0022;
январь 2022;5 224;0,0022;
февраль 2022;6 141;0,0024;
март 2022;5 475;0,0023;
апрель 2022;4 789;0,0020;
май 2022;4 595;0,0022;
июнь 2022;4 248;0,0021;
июль 2022;4 524;0,0022;
август 2022;4 420;0,0019;
сентябрь 2022;5 053;0,0020;
октябрь 2022;5 234;0,0021;
ноябрь 2022;4 921;0,0019;
декабрь 2022;4 722;0,0019;
январь 2023;4 475;0,0019;
февраль 2023;4 704;0,0019;
март 2023;4 566;0,0020;
апрель 2023;4 227;0,0018;
май 2023;3 157;0,0015;
июнь 2023;2 894;0,0014;
июль 2023;3 071;0,0015;
август 2023;3 661;0,0017;
сентябрь 2023;4 544;0,0018;
октябрь 2023;4 160;0,0017;
ноябрь 2023;3 961;0,0016;
декабрь 2023;4 315;0,0018;
январь 2024;3 663;0,0016;
февраль 2024;3 523;0,0015;
март 2024;3 189;0,0014;
апрель 2024;3 399;0,0016;
май 2024;2 931;0,0015;
июнь 2024;2 577;0,0014;
июль 2024;2 268;0,0012;
август 2024;3 087;0,0016;
сентябрь 2024;4 097;0,0018;
октябрь 2024;4 242;0,0018;
ноябрь 2024;4 328;0,0017;
декабрь 2024;4 479;0,0018;
