Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Саратовская область, все устройства
декабрь 2017;2 251;0,0022;
январь 2018;1 686;0,0017;
февраль 2018;1 951;0,0018;
март 2018;1 700;0,0017;
апрель 2018;1 745;0,0018;
май 2018;1 649;0,0018;
июнь 2018;1 890;0,0021;
июль 2018;1 684;0,0018;
август 2018;2 056;0,0019;
сентябрь 2018;2 420;0,0020;
октябрь 2018;2 327;0,0021;
ноябрь 2018;1 762;0,0016;
декабрь 2018;2 126;0,0018;
январь 2019;1 982;0,0017;
февраль 2019;1 944;0,0016;
март 2019;1 907;0,0018;
апрель 2019;1 644;0,0016;
май 2019;1 679;0,0018;
июнь 2019;1 640;0,0017;
июль 2019;1 575;0,0017;
август 2019;1 745;0,0017;
сентябрь 2019;2 112;0,0018;
октябрь 2019;2 017;0,0017;
ноябрь 2019;1 827;0,0015;
декабрь 2019;2 233;0,0018;
январь 2020;2 294;0,0019;
февраль 2020;2 107;0,0016;
март 2020;3 675;0,0023;
апрель 2020;3 639;0,0025;
май 2020;2 801;0,0024;
июнь 2020;1 978;0,0019;
июль 2020;1 950;0,0018;
август 2020;2 103;0,0017;
сентябрь 2020;2 616;0,0018;
октябрь 2020;3 672;0,0023;
ноябрь 2020;3 627;0,0024;
декабрь 2020;3 516;0,0023;
январь 2021;3 640;0,0025;
февраль 2021;3 468;0,0022;
март 2021;3 128;0,0020;
апрель 2021;2 545;0,0018;
май 2021;2 724;0,0019;
июнь 2021;2 166;0,0016;
июль 2021;2 096;0,0015;
август 2021;2 323;0,0016;
сентябрь 2021;2 383;0,0015;
октябрь 2021;3 203;0,0020;
ноябрь 2021;3 032;0,0018;
декабрь 2021;2 810;0,0017;
январь 2022;2 788;0,0017;
февраль 2022;2 906;0,0016;
март 2022;2 649;0,0016;
апрель 2022;2 969;0,0018;
май 2022;2 623;0,0018;
июнь 2022;2 420;0,0017;
июль 2022;2 298;0,0016;
август 2022;2 230;0,0014;
сентябрь 2022;2 328;0,0013;
октябрь 2022;2 759;0,0016;
ноябрь 2022;2 342;0,0013;
декабрь 2022;2 501;0,0014;
январь 2023;2 200;0,0014;
февраль 2023;2 224;0,0013;
март 2023;2 180;0,0014;
апрель 2023;2 196;0,0014;
май 2023;2 139;0,0015;
июнь 2023;1 771;0,0013;
июль 2023;1 818;0,0013;
август 2023;1 833;0,0012;
сентябрь 2023;2 182;0,0013;
октябрь 2023;2 349;0,0014;
ноябрь 2023;2 003;0,0012;
декабрь 2023;2 107;0,0012;
январь 2024;1 970;0,0012;
февраль 2024;1 959;0,0012;
март 2024;2 164;0,0015;
апрель 2024;1 909;0,0013;
май 2024;1 682;0,0013;
июнь 2024;1 447;0,0011;
июль 2024;1 356;0,0011;
август 2024;1 893;0,0014;
сентябрь 2024;2 317;0,0015;
октябрь 2024;2 652;0,0017;
ноябрь 2024;2 599;0,0016;
декабрь 2024;2 445;0,0015;
