Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Калмыкия, все устройства
декабрь 2017;156;0,00240;
январь 2018;79;0,00124;
февраль 2018;106;0,00153;
март 2018;58;0,00094;
апрель 2018;87;0,00143;
май 2018;82;0,00138;
июнь 2018;98;0,00159;
июль 2018;140;0,00244;
август 2018;119;0,00197;
сентябрь 2018;134;0,00188;
октябрь 2018;123;0,00184;
ноябрь 2018;132;0,00191;
декабрь 2018;102;0,00142;
январь 2019;131;0,00194;
февраль 2019;83;0,00116;
март 2019;63;0,00093;
апрель 2019;87;0,00132;
май 2019;90;0,00148;
июнь 2019;86;0,00141;
июль 2019;69;0,00115;
август 2019;123;0,00198;
сентябрь 2019;95;0,00139;
октябрь 2019;89;0,00127;
ноябрь 2019;97;0,00130;
декабрь 2019;104;0,00132;
январь 2020;101;0,00135;
февраль 2020;105;0,00129;
март 2020;236;0,00211;
апрель 2020;173;0,00162;
май 2020;240;0,00279;
июнь 2020;150;0,00192;
июль 2020;113;0,00147;
август 2020;145;0,00173;
сентябрь 2020;114;0,00117;
октябрь 2020;141;0,00138;
ноябрь 2020;150;0,00152;
декабрь 2020;279;0,00287;
январь 2021;248;0,00284;
февраль 2021;210;0,00218;
март 2021;181;0,00188;
апрель 2021;218;0,00223;
май 2021;196;0,00207;
июнь 2021;139;0,00158;
июль 2021;120;0,00135;
август 2021;84;0,00087;
сентябрь 2021;170;0,00161;
октябрь 2021;160;0,00144;
ноябрь 2021;162;0,00134;
декабрь 2021;225;0,00184;
январь 2022;224;0,00185;
февраль 2022;225;0,00185;
март 2022;138;0,00121;
апрель 2022;119;0,00103;
май 2022;157;0,00152;
июнь 2022;114;0,00109;
июль 2022;143;0,00139;
август 2022;127;0,00116;
сентябрь 2022;137;0,00115;
октябрь 2022;163;0,00133;
ноябрь 2022;133;0,00100;
декабрь 2022;117;0,00095;
январь 2023;81;0,00073;
февраль 2023;151;0,00127;
март 2023;102;0,00089;
апрель 2023;159;0,00138;
май 2023;136;0,00134;
июнь 2023;92;0,00089;
июль 2023;120;0,00117;
август 2023;94;0,00089;
сентябрь 2023;153;0,00133;
октябрь 2023;110;0,00094;
ноябрь 2023;110;0,00093;
декабрь 2023;168;0,00140;
январь 2024;134;0,00121;
февраль 2024;120;0,00106;
март 2024;114;0,00108;
апрель 2024;109;0,00103;
май 2024;87;0,00094;
июнь 2024;80;0,00084;
июль 2024;92;0,00100;
август 2024;79;0,00082;
сентябрь 2024;141;0,00132;
октябрь 2024;226;0,00202;
ноябрь 2024;230;0,00195;
декабрь 2024;242;0,00202;
