Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Алтайский край, все устройства
декабрь 2017;2 254;0,0026;
январь 2018;2 283;0,0028;
февраль 2018;2 188;0,0025;
март 2018;1 979;0,0025;
апрель 2018;2 029;0,0024;
май 2018;1 604;0,0023;
июнь 2018;1 598;0,0022;
июль 2018;1 689;0,0023;
август 2018;2 074;0,0025;
сентябрь 2018;2 411;0,0025;
октябрь 2018;2 464;0,0027;
ноябрь 2018;1 649;0,0018;
декабрь 2018;2 265;0,0025;
январь 2019;2 182;0,0024;
февраль 2019;2 218;0,0024;
март 2019;2 030;0,0023;
апрель 2019;1 670;0,0020;
май 2019;1 774;0,0024;
июнь 2019;1 640;0,0023;
июль 2019;1 485;0,0020;
август 2019;1 738;0,0022;
сентябрь 2019;2 034;0,0022;
октябрь 2019;2 251;0,0024;
ноябрь 2019;2 343;0,0023;
декабрь 2019;2 483;0,0024;
январь 2020;2 296;0,0023;
февраль 2020;2 287;0,0021;
март 2020;3 330;0,0026;
апрель 2020;3 282;0,0028;
май 2020;2 703;0,0027;
июнь 2020;2 222;0,0024;
июль 2020;2 109;0,0023;
август 2020;2 136;0,0020;
сентябрь 2020;2 801;0,0023;
октябрь 2020;3 728;0,0030;
ноябрь 2020;3 396;0,0028;
декабрь 2020;3 231;0,0027;
январь 2021;3 595;0,0032;
февраль 2021;3 262;0,0027;
март 2021;3 146;0,0026;
апрель 2021;2 851;0,0025;
май 2021;2 545;0,0023;
июнь 2021;1 811;0,0017;
июль 2021;1 973;0,0018;
август 2021;2 241;0,0019;
сентябрь 2021;2 566;0,0020;
октябрь 2021;3 263;0,0024;
ноябрь 2021;3 172;0,0023;
декабрь 2021;2 871;0,0021;
январь 2022;2 942;0,0022;
февраль 2022;3 073;0,0021;
март 2022;3 061;0,0023;
апрель 2022;2 474;0,0019;
май 2022;2 190;0,0018;
июнь 2022;2 233;0,0019;
июль 2022;2 125;0,0018;
август 2022;2 144;0,0016;
сентябрь 2022;2 706;0,0019;
октябрь 2022;2 751;0,0018;
ноябрь 2022;2 420;0,0016;
декабрь 2022;2 747;0,0018;
январь 2023;2 459;0,0018;
февраль 2023;2 802;0,0019;
март 2023;2 181;0,0015;
апрель 2023;2 197;0,0016;
май 2023;1 871;0,0016;
июнь 2023;1 647;0,0014;
июль 2023;2 061;0,0017;
август 2023;1 888;0,0015;
сентябрь 2023;2 463;0,0017;
октябрь 2023;2 445;0,0017;
ноябрь 2023;2 358;0,0016;
декабрь 2023;2 558;0,0018;
январь 2024;2 470;0,0018;
февраль 2024;2 621;0,0019;
март 2024;2 329;0,0018;
апрель 2024;2 049;0,0016;
май 2024;1 641;0,0015;
июнь 2024;1 715;0,0016;
июль 2024;1 580;0,0015;
август 2024;1 934;0,0017;
сентябрь 2024;2 908;0,0022;
октябрь 2024;3 097;0,0023;
ноябрь 2024;3 075;0,0022;
декабрь 2024;3 382;0,0025;
