Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Амурская область, все устройства
декабрь 2017;741;0,0037;
январь 2018;651;0,0033;
февраль 2018;675;0,0033;
март 2018;516;0,0027;
апрель 2018;456;0,0024;
май 2018;386;0,0021;
июнь 2018;437;0,0024;
июль 2018;387;0,0022;
август 2018;411;0,0020;
сентябрь 2018;583;0,0025;
октябрь 2018;601;0,0026;
ноябрь 2018;426;0,0019;
декабрь 2018;453;0,0020;
январь 2019;502;0,0023;
февраль 2019;499;0,0022;
март 2019;420;0,0019;
апрель 2019;320;0,0016;
май 2019;320;0,0019;
июнь 2019;360;0,0020;
июль 2019;352;0,0020;
август 2019;363;0,0018;
сентябрь 2019;506;0,0021;
октябрь 2019;501;0,0021;
ноябрь 2019;550;0,0021;
декабрь 2019;731;0,0027;
январь 2020;684;0,0026;
февраль 2020;724;0,0024;
март 2020;851;0,0023;
апрель 2020;872;0,0025;
май 2020;654;0,0024;
июнь 2020;513;0,0021;
июль 2020;510;0,0021;
август 2020;641;0,0022;
сентябрь 2020;807;0,0023;
октябрь 2020;1 147;0,0031;
ноябрь 2020;836;0,0024;
декабрь 2020;1 069;0,0031;
январь 2021;1 040;0,0032;
февраль 2021;878;0,0026;
март 2021;796;0,0023;
апрель 2021;787;0,0024;
май 2021;706;0,0023;
июнь 2021;549;0,0018;
июль 2021;448;0,0015;
август 2021;488;0,0015;
сентябрь 2021;693;0,0020;
октябрь 2021;790;0,0022;
ноябрь 2021;914;0,0024;
декабрь 2021;795;0,0022;
январь 2022;959;0,0027;
февраль 2022;867;0,0022;
март 2022;795;0,0021;
апрель 2022;562;0,0015;
май 2022;748;0,0023;
июнь 2022;538;0,0017;
июль 2022;561;0,0018;
август 2022;583;0,0016;
сентябрь 2022;729;0,0018;
октябрь 2022;897;0,0021;
ноябрь 2022;720;0,0017;
декабрь 2022;674;0,0016;
январь 2023;635;0,0016;
февраль 2023;847;0,0020;
март 2023;718;0,0018;
апрель 2023;610;0,0016;
май 2023;452;0,0013;
июнь 2023;392;0,0012;
июль 2023;410;0,0013;
август 2023;529;0,0015;
сентябрь 2023;623;0,0016;
октябрь 2023;614;0,0016;
ноябрь 2023;655;0,0017;
декабрь 2023;670;0,0017;
январь 2024;559;0,0015;
февраль 2024;507;0,0013;
март 2024;528;0,0015;
апрель 2024;547;0,0016;
май 2024;434;0,0015;
июнь 2024;426;0,0015;
июль 2024;300;0,0010;
август 2024;446;0,0014;
сентябрь 2024;625;0,0017;
октябрь 2024;836;0,0023;
ноябрь 2024;762;0,0019;
декабрь 2024;704;0,0018;
